final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_avg_accuracy,exp,task,seeds,list_final_avg,p_val_12_langs,p_val_34_langs
36.17 \scriptsize $\pm$ 0.75,45.97 \scriptsize $\pm$ 1.98,44.63 \scriptsize $\pm$ 0.92,46.20 \scriptsize $\pm$ 1.24,45.83 \scriptsize $\pm$ 1.84,35.10 \scriptsize $\pm$ 0.90,48.43 \scriptsize $\pm$ 1.11,46.73 \scriptsize $\pm$ 2.85,45.87 \scriptsize $\pm$ 1.19,43.77 \scriptsize $\pm$ 0.96,47.57 \scriptsize $\pm$ 1.53,40.80 \scriptsize $\pm$ 1.68,42.63 \scriptsize $\pm$ 1.57,44.23 \scriptsize $\pm$ 0.84,48.67 \scriptsize $\pm$ 0.98,45.43 \scriptsize $\pm$ 0.64,44.25 \scriptsize $\pm$ 0.60,afri_only,afri-xnli,"[31, 42, 66, 17, 23]","[44.17708333333332, 44.45833333333334, 43.489583333333336, 44.02083333333333, 45.114583333333336]",-1,-1
35.67 \scriptsize $\pm$ 0.58,48.23 \scriptsize $\pm$ 1.06,48.30 \scriptsize $\pm$ 1.37,44.50 \scriptsize $\pm$ 2.13,45.20 \scriptsize $\pm$ 1.66,34.67 \scriptsize $\pm$ 0.95,47.13 \scriptsize $\pm$ 1.00,49.43 \scriptsize $\pm$ 1.51,44.50 \scriptsize $\pm$ 0.92,41.83 \scriptsize $\pm$ 0.82,48.80 \scriptsize $\pm$ 1.25,40.00 \scriptsize $\pm$ 1.36,41.77 \scriptsize $\pm$ 0.42,43.30 \scriptsize $\pm$ 0.76,48.03 \scriptsize $\pm$ 1.97,44.00 \scriptsize $\pm$ 1.48,44.09 \scriptsize $\pm$ 0.51,least_family_en_10,afri-xnli,"[17, 23, 31, 42, 66]","[43.40624999999999, 44.74999999999999, 43.89583333333333, 44.364583333333336, 44.01041666666666]",-1,-1
35.43 \scriptsize $\pm$ 0.25,37.63 \scriptsize $\pm$ 1.51,42.73 \scriptsize $\pm$ 1.33,38.97 \scriptsize $\pm$ 0.79,40.43 \scriptsize $\pm$ 0.88,35.37 \scriptsize $\pm$ 0.43,42.77 \scriptsize $\pm$ 1.45,40.20 \scriptsize $\pm$ 1.26,38.73 \scriptsize $\pm$ 1.52,41.30 \scriptsize $\pm$ 1.05,47.77 \scriptsize $\pm$ 0.97,38.20 \scriptsize $\pm$ 1.48,38.57 \scriptsize $\pm$ 1.56,38.83 \scriptsize $\pm$ 1.48,44.33 \scriptsize $\pm$ 1.07,40.70 \scriptsize $\pm$ 1.09,40.12 \scriptsize $\pm$ 0.59,least_family_en_20,afri-xnli,"[17, 23, 31, 42, 66]","[40.104166666666664, 40.197916666666664, 40.375, 40.77083333333332, 39.166666666666664]",-1,-1
35.63 \scriptsize $\pm$ 0.14,37.97 \scriptsize $\pm$ 1.44,41.90 \scriptsize $\pm$ 1.55,39.70 \scriptsize $\pm$ 1.30,39.13 \scriptsize $\pm$ 0.68,34.20 \scriptsize $\pm$ 1.28,41.87 \scriptsize $\pm$ 1.52,38.90 \scriptsize $\pm$ 1.45,37.93 \scriptsize $\pm$ 1.77,40.40 \scriptsize $\pm$ 0.70,46.17 \scriptsize $\pm$ 0.75,37.80 \scriptsize $\pm$ 1.06,38.63 \scriptsize $\pm$ 1.57,38.40 \scriptsize $\pm$ 0.71,43.83 \scriptsize $\pm$ 1.41,40.33 \scriptsize $\pm$ 1.63,39.55 \scriptsize $\pm$ 0.59,least_family_en_5,afri-xnli,"[17, 23, 31, 42, 66]","[39.135416666666664, 40.51041666666668, 39.16666666666667, 39.22916666666666, 39.708333333333336]",-1,-1
35.23 \scriptsize $\pm$ 0.22,36.93 \scriptsize $\pm$ 0.76,42.03 \scriptsize $\pm$ 0.84,39.40 \scriptsize $\pm$ 0.57,39.23 \scriptsize $\pm$ 1.33,35.07 \scriptsize $\pm$ 1.30,45.07 \scriptsize $\pm$ 1.58,40.60 \scriptsize $\pm$ 1.16,39.17 \scriptsize $\pm$ 1.64,41.43 \scriptsize $\pm$ 1.09,46.77 \scriptsize $\pm$ 1.24,38.73 \scriptsize $\pm$ 2.00,38.40 \scriptsize $\pm$ 2.04,39.17 \scriptsize $\pm$ 1.41,44.00 \scriptsize $\pm$ 0.94,41.07 \scriptsize $\pm$ 1.12,40.14 \scriptsize $\pm$ 0.68,least_same_script_10,afri-xnli,"[42, 66, 17, 23, 31]","[40.06249999999999, 40.90625000000001, 39.822916666666664, 39.22916666666666, 40.697916666666664]",-1,-1
35.43 \scriptsize $\pm$ 0.15,51.70 \scriptsize $\pm$ 0.96,42.40 \scriptsize $\pm$ 0.80,41.40 \scriptsize $\pm$ 0.75,42.57 \scriptsize $\pm$ 0.65,33.30 \scriptsize $\pm$ 1.51,51.47 \scriptsize $\pm$ 1.27,53.63 \scriptsize $\pm$ 0.99,51.43 \scriptsize $\pm$ 1.15,41.73 \scriptsize $\pm$ 1.02,50.13 \scriptsize $\pm$ 1.38,43.77 \scriptsize $\pm$ 1.45,41.50 \scriptsize $\pm$ 0.80,44.67 \scriptsize $\pm$ 1.37,52.00 \scriptsize $\pm$ 1.78,46.60 \scriptsize $\pm$ 1.18,45.23 \scriptsize $\pm$ 0.42,least_same_script_20,afri-xnli,"[31, 42, 66, 17, 23]","[44.864583333333336, 45.46874999999999, 45.15625000000001, 45.83333333333332, 44.84375]",-1,-1
35.53 \scriptsize $\pm$ 0.18,38.63 \scriptsize $\pm$ 1.35,42.27 \scriptsize $\pm$ 0.85,39.40 \scriptsize $\pm$ 1.64,37.93 \scriptsize $\pm$ 1.62,34.33 \scriptsize $\pm$ 0.46,43.90 \scriptsize $\pm$ 2.40,38.67 \scriptsize $\pm$ 1.55,38.93 \scriptsize $\pm$ 1.66,41.07 \scriptsize $\pm$ 1.32,46.20 \scriptsize $\pm$ 0.83,38.67 \scriptsize $\pm$ 1.83,37.67 \scriptsize $\pm$ 1.70,38.23 \scriptsize $\pm$ 1.77,44.30 \scriptsize $\pm$ 0.62,39.87 \scriptsize $\pm$ 2.38,39.73 \scriptsize $\pm$ 1.03,least_same_script_5,afri-xnli,"[42, 66, 17, 23, 31]","[39.67708333333333, 38.552083333333336, 40.92708333333333, 40.572916666666664, 38.895833333333336]",-1,-1
35.33 \scriptsize $\pm$ nan,38.83 \scriptsize $\pm$ nan,43.00 \scriptsize $\pm$ nan,39.33 \scriptsize $\pm$ nan,38.17 \scriptsize $\pm$ nan,34.00 \scriptsize $\pm$ nan,41.50 \scriptsize $\pm$ nan,38.83 \scriptsize $\pm$ nan,38.50 \scriptsize $\pm$ nan,40.00 \scriptsize $\pm$ nan,47.33 \scriptsize $\pm$ nan,37.83 \scriptsize $\pm$ nan,40.83 \scriptsize $\pm$ nan,39.50 \scriptsize $\pm$ nan,45.67 \scriptsize $\pm$ nan,40.67 \scriptsize $\pm$ nan,39.96 \scriptsize $\pm$ nan,least_uriel_10-seed_31,afri-xnli,[31],[39.95833333333333],-1,-1
35.50 \scriptsize $\pm$ nan,38.33 \scriptsize $\pm$ nan,40.67 \scriptsize $\pm$ nan,38.83 \scriptsize $\pm$ nan,36.50 \scriptsize $\pm$ nan,35.83 \scriptsize $\pm$ nan,42.50 \scriptsize $\pm$ nan,39.33 \scriptsize $\pm$ nan,36.33 \scriptsize $\pm$ nan,39.50 \scriptsize $\pm$ nan,47.50 \scriptsize $\pm$ nan,36.83 \scriptsize $\pm$ nan,37.33 \scriptsize $\pm$ nan,37.50 \scriptsize $\pm$ nan,42.50 \scriptsize $\pm$ nan,38.17 \scriptsize $\pm$ nan,38.95 \scriptsize $\pm$ nan,least_uriel_5-seed_31,afri-xnli,[31],[38.947916666666664],-1,-1
37.90 \scriptsize $\pm$ 2.08,42.23 \scriptsize $\pm$ 2.64,39.93 \scriptsize $\pm$ 2.45,35.50 \scriptsize $\pm$ 2.20,40.90 \scriptsize $\pm$ 3.07,38.40 \scriptsize $\pm$ 1.89,39.70 \scriptsize $\pm$ 0.58,41.37 \scriptsize $\pm$ 1.83,45.10 \scriptsize $\pm$ 4.09,38.47 \scriptsize $\pm$ 1.28,40.90 \scriptsize $\pm$ 3.09,37.50 \scriptsize $\pm$ 1.92,43.60 \scriptsize $\pm$ 2.79,39.53 \scriptsize $\pm$ 1.38,51.78 \scriptsize $\pm$ 3.54,72.93 \scriptsize $\pm$ 18.87,42.86 \scriptsize $\pm$ 2.11,least_uriel_en_10,afri-xnli,"[17, 23, 31, 42, 66]","[43.13827813123753, 44.74573314308883, 39.23958333333333, 43.544980351796404, 43.62675235466567]",-1,-1
37.53 \scriptsize $\pm$ 1.53,41.87 \scriptsize $\pm$ 1.44,40.37 \scriptsize $\pm$ 0.67,35.47 \scriptsize $\pm$ 3.08,42.57 \scriptsize $\pm$ 2.75,38.63 \scriptsize $\pm$ 3.85,40.17 \scriptsize $\pm$ 1.99,40.73 \scriptsize $\pm$ 1.87,45.27 \scriptsize $\pm$ 3.66,39.13 \scriptsize $\pm$ 1.82,42.73 \scriptsize $\pm$ 2.98,38.47 \scriptsize $\pm$ 1.16,43.70 \scriptsize $\pm$ 1.30,40.80 \scriptsize $\pm$ 0.98,51.53 \scriptsize $\pm$ 3.93,73.38 \scriptsize $\pm$ 17.92,43.27 \scriptsize $\pm$ 1.70,least_uriel_en_20,afri-xnli,"[17, 23, 31, 42, 66]","[43.973088978293404, 44.10292890780938, 40.23958333333333, 43.946637974051896, 44.09572456649202]",-1,-1
37.90 \scriptsize $\pm$ 1.35,48.33 \scriptsize $\pm$ 5.40,42.90 \scriptsize $\pm$ 4.09,35.77 \scriptsize $\pm$ 2.58,42.00 \scriptsize $\pm$ 0.83,41.53 \scriptsize $\pm$ 3.36,40.53 \scriptsize $\pm$ 1.30,40.93 \scriptsize $\pm$ 1.95,44.73 \scriptsize $\pm$ 4.64,39.13 \scriptsize $\pm$ 1.75,44.57 \scriptsize $\pm$ 1.87,38.50 \scriptsize $\pm$ 1.11,44.30 \scriptsize $\pm$ 2.11,41.07 \scriptsize $\pm$ 1.49,51.48 \scriptsize $\pm$ 5.12,72.90 \scriptsize $\pm$ 18.31,44.16 \scriptsize $\pm$ 1.80,least_uriel_en_40,afri-xnli,"[17, 23, 31, 42, 66]","[44.49754202532435, 44.431252728917165, 41.0625, 45.48753469623254, 45.32852069298901]",-1,-1
