final_eval_aym_accuracy,final_eval_bzd_accuracy,final_eval_cni_accuracy,final_eval_gn_accuracy,final_eval_hch_accuracy,final_eval_nah_accuracy,final_eval_oto_accuracy,final_eval_quy_accuracy,final_eval_shp_accuracy,final_eval_tar_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
43.13 \scriptsize $\pm$ 0.47,41.63 \scriptsize $\pm$ 0.73,45.00 \scriptsize $\pm$ 1.48,42.87 \scriptsize $\pm$ 0.90,41.77 \scriptsize $\pm$ 0.80,47.32 \scriptsize $\pm$ 1.07,46.72 \scriptsize $\pm$ 0.95,41.67 \scriptsize $\pm$ 1.52,45.50 \scriptsize $\pm$ 0.23,41.27 \scriptsize $\pm$ 1.34,43.69 \scriptsize $\pm$ 0.64,abla_most_family_joshi2,americasnli,"[42, 66, 17, 23]","[44.354695592945234, 42.83264031998608, 43.662707418518025, 43.90266886946944]",0.15622061122365385,0.011018592098663271,0.010242353615403965
42.00 \scriptsize $\pm$ 1.15,39.67 \scriptsize $\pm$ 0.23,41.93 \scriptsize $\pm$ 1.42,41.20 \scriptsize $\pm$ 1.47,39.60 \scriptsize $\pm$ 1.89,45.97 \scriptsize $\pm$ 1.47,40.94 \scriptsize $\pm$ 1.64,38.50 \scriptsize $\pm$ 2.19,44.10 \scriptsize $\pm$ 0.95,39.17 \scriptsize $\pm$ 1.01,41.31 \scriptsize $\pm$ 1.15,abla_most_family_joshi3,americasnli,"[42, 66, 17, 23]","[39.909126269872324, 41.16187759952466, 41.459906380881996, 42.70029563932003]",0.13096032041476918,0.8617209379434989,0.17280001520506466
41.40 \scriptsize $\pm$ 1.77,41.47 \scriptsize $\pm$ 0.29,41.17 \scriptsize $\pm$ 1.00,39.63 \scriptsize $\pm$ 0.79,38.17 \scriptsize $\pm$ 2.36,46.04 \scriptsize $\pm$ 1.68,41.64 \scriptsize $\pm$ 1.75,39.57 \scriptsize $\pm$ 1.71,44.20 \scriptsize $\pm$ 2.05,38.53 \scriptsize $\pm$ 1.00,41.18 \scriptsize $\pm$ 0.46,abla_most_family_joshi35,americasnli,"[42, 66, 17, 23]","[40.86968798458037, 40.709260177093746, 41.47345941480805, 41.67331391388781]",0.04316158995025999,0.6432195030544446,0.03869494854465378
42.50 \scriptsize $\pm$ 1.36,40.27 \scriptsize $\pm$ 0.63,42.23 \scriptsize $\pm$ 1.41,40.47 \scriptsize $\pm$ 1.39,39.83 \scriptsize $\pm$ 1.49,46.54 \scriptsize $\pm$ 1.13,41.88 \scriptsize $\pm$ 1.14,41.30 \scriptsize $\pm$ 0.17,44.63 \scriptsize $\pm$ 1.41,41.23 \scriptsize $\pm$ 1.55,42.09 \scriptsize $\pm$ 0.67,abla_most_family_seen_mbert,americasnli,"[42, 66, 17, 23]","[42.979760879961745, 41.48303001318783, 42.207113603756355, 41.685985247018245]",0.2768447073333697,0.2034795180746364,0.0821014471048332
41.33 \scriptsize $\pm$ 0.70,40.73 \scriptsize $\pm$ 1.76,43.30 \scriptsize $\pm$ 1.48,41.20 \scriptsize $\pm$ 1.88,40.37 \scriptsize $\pm$ 0.79,45.22 \scriptsize $\pm$ 0.95,49.73 \scriptsize $\pm$ 0.99,41.10 \scriptsize $\pm$ 2.00,44.83 \scriptsize $\pm$ 0.89,40.33 \scriptsize $\pm$ 1.86,42.82 \scriptsize $\pm$ 1.16,abla_most_family_seen_xlmr,americasnli,"[42, 66, 17, 23]","[41.377563874034465, 43.11454429517556, 42.60477399533353, 44.16559685810761]",0.8966031282928734,0.21153315099121625,0.9150504165092522
41.03 \scriptsize $\pm$ 2.68,39.97 \scriptsize $\pm$ 0.38,43.57 \scriptsize $\pm$ 0.43,41.97 \scriptsize $\pm$ 0.87,39.20 \scriptsize $\pm$ 1.23,44.24 \scriptsize $\pm$ 1.97,45.66 \scriptsize $\pm$ 0.42,40.03 \scriptsize $\pm$ 0.98,43.47 \scriptsize $\pm$ 1.13,40.50 \scriptsize $\pm$ 1.45,41.96 \scriptsize $\pm$ 0.22,abla_most_family_unseen_mbert,americasnli,"[42, 66, 17, 23]","[42.06928423401881, 41.8120128110372, 41.752681767459386, 42.21786357114909]",0.07499489025303309,0.26389968581064194,0.07936799570884313
42.17 \scriptsize $\pm$ 1.73,42.10 \scriptsize $\pm$ 2.06,44.73 \scriptsize $\pm$ 1.56,42.80 \scriptsize $\pm$ 0.80,40.47 \scriptsize $\pm$ 1.02,46.17 \scriptsize $\pm$ 1.07,44.22 \scriptsize $\pm$ 1.21,42.83 \scriptsize $\pm$ 1.64,43.33 \scriptsize $\pm$ 1.03,42.40 \scriptsize $\pm$ 1.36,43.12 \scriptsize $\pm$ 0.62,abla_most_family_unseen_xlmr,americasnli,"[42, 66, 17, 23]","[42.69747721113575, 42.537649667405766, 43.887678216889114, 43.36652870165066]",0.518457650121562,0.09377609625499479,0.5077636955023687
40.70 \scriptsize $\pm$ 1.12,41.47 \scriptsize $\pm$ 0.79,43.80 \scriptsize $\pm$ 1.46,43.00 \scriptsize $\pm$ 1.42,39.73 \scriptsize $\pm$ 1.14,45.36 \scriptsize $\pm$ 2.17,47.96 \scriptsize $\pm$ 0.64,39.63 \scriptsize $\pm$ 1.78,44.73 \scriptsize $\pm$ 1.57,41.63 \scriptsize $\pm$ 1.48,42.80 \scriptsize $\pm$ 1.02,abla_most_script_joshi2,americasnli,"[42, 66, 17, 23]","[42.4957967044911, 41.52318507890961, 43.87639725809022, 43.31274437343304]",0.9265154861627993,0.20075358953971567,0.9034799196654271
38.87 \scriptsize $\pm$ 2.12,40.20 \scriptsize $\pm$ 0.46,40.67 \scriptsize $\pm$ 0.95,40.80 \scriptsize $\pm$ 2.06,37.40 \scriptsize $\pm$ 1.49,45.46 \scriptsize $\pm$ 2.18,41.54 \scriptsize $\pm$ 0.95,37.80 \scriptsize $\pm$ 0.77,43.37 \scriptsize $\pm$ 1.40,34.80 \scriptsize $\pm$ 1.38,40.09 \scriptsize $\pm$ 0.60,abla_most_script_joshi3,americasnli,"[42, 66, 17, 23]","[40.08429807399678, 40.04530788516441, 40.84681970349114, 39.38550323898961]",0.009080096202389651,0.10877107271440663,0.017133988280293635
38.33 \scriptsize $\pm$ 1.10,41.07 \scriptsize $\pm$ 1.54,39.53 \scriptsize $\pm$ 1.05,39.67 \scriptsize $\pm$ 0.60,37.67 \scriptsize $\pm$ 0.96,43.90 \scriptsize $\pm$ 0.65,41.51 \scriptsize $\pm$ 0.89,37.53 \scriptsize $\pm$ 1.40,42.20 \scriptsize $\pm$ 2.00,35.60 \scriptsize $\pm$ 1.14,39.70 \scriptsize $\pm$ 0.72,abla_most_script_joshi35,americasnli,"[42, 66, 17, 23]","[40.18861266901439, 40.01510108256163, 38.62633769546252, 39.97520223758387]",0.0016788099671643454,0.003004338228442413,0.003246870300986069
