final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
43.82 \scriptsize $\pm$ 13.42,73.39 \scriptsize $\pm$ 5.03,58.61 \scriptsize $\pm$ 7.83,abla_most_family_joshi2,masakha_unseen_ner,"[42, 66, 17, 23]","[58.32995173843082, 55.88339736319165, 50.833061019129424, 69.38659280468069]",0.051990544224689704,0.049577885913230965,0.23727304021127768
66.59 \scriptsize $\pm$ 12.40,80.61 \scriptsize $\pm$ 3.26,73.60 \scriptsize $\pm$ 7.69,abla_most_family_joshi3,masakha_unseen_ner,"[42, 66, 17, 23]","[76.27506155165499, 78.02273665112892, 77.96606648039798, 62.12619328372316]",0.9598893609257377,0.9073343674836654,0.32022032712204435
86.07 \scriptsize $\pm$ 5.08,83.81 \scriptsize $\pm$ 1.97,84.94 \scriptsize $\pm$ 2.88,abla_most_family_joshi35,masakha_unseen_ner,"[42, 66, 17, 23]","[85.84460483606972, 88.53196997570208, 83.39780840376042, 81.9818581107561]",0.10247405747163159,0.004329678533953327,0.02041178146747279
75.69 \scriptsize $\pm$ 5.55,79.84 \scriptsize $\pm$ 2.16,77.77 \scriptsize $\pm$ 2.95,abla_most_family_seen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[74.13498600679604, 76.74601960201207, 79.36804518168113, 80.81179745817023]",0.3183851890117773,0.30728278222853406,0.03954254584945569
77.66 \scriptsize $\pm$ 6.09,79.87 \scriptsize $\pm$ 2.32,78.76 \scriptsize $\pm$ 2.04,abla_most_family_seen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[78.57919271661802, 76.81378693675624, 81.62176796178726, 78.03672409182494]",0.17460069203348252,0.09557759222357379,0.06149599463116256
67.81 \scriptsize $\pm$ 10.34,78.08 \scriptsize $\pm$ 3.05,72.94 \scriptsize $\pm$ 5.90,abla_most_family_unseen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[67.93419851446117, 80.8899703652987, 69.04259801006036, 73.91102414346376]",0.8844376262571108,0.8023386303428768,0.10708423922744432
65.10 \scriptsize $\pm$ 6.37,78.82 \scriptsize $\pm$ 4.13,71.96 \scriptsize $\pm$ 2.62,abla_most_family_unseen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[75.63756679622483, 71.52124079606807, 71.24073987625121, 69.44346468963673]",0.6310386556542615,0.013814135615370881,0.38987630728994754
66.88 \scriptsize $\pm$ 5.02,74.58 \scriptsize $\pm$ 4.11,70.73 \scriptsize $\pm$ 1.12,abla_most_script_joshi2,masakha_unseen_ner,"[42, 66, 17, 23]","[69.40751921472076, 70.55710875508896, 72.14835159135234, 70.79717461766509]",0.40495521736033013,0.20947215742433617,0.35910003855470823
63.50 \scriptsize $\pm$ 7.62,74.44 \scriptsize $\pm$ 2.36,68.97 \scriptsize $\pm$ 4.22,abla_most_script_joshi3,masakha_unseen_ner,"[42, 66, 17, 23]","[68.16060256073328, 63.430931320340626, 73.09608138419759, 71.20449471162934]",0.05031715565548509,0.2086075892085075,0.6959068661846094
71.90 \scriptsize $\pm$ 8.18,83.04 \scriptsize $\pm$ 3.20,77.47 \scriptsize $\pm$ 5.43,abla_most_script_joshi35,masakha_unseen_ner,"[42, 66, 17, 23]","[80.47943725189151, 77.59517885712178, 69.80047149259306, 82.0082394497697]",0.5112578742421741,0.33321038167404327,0.14844323335747794
