final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
23.08 \scriptsize $\pm$ 0.68,55.63 \scriptsize $\pm$ 1.53,39.36 \scriptsize $\pm$ 0.61,abla_most_family_joshi2,masakha_unseen_pos,"[42, 66, 17, 23]","[38.94078056413138, 39.28393528102039, 38.96486976616367, 40.23373255200765]",0.1287789245603149,0.15581760607079648,0.20703226528297894
21.03 \scriptsize $\pm$ 1.09,55.67 \scriptsize $\pm$ 1.21,38.35 \scriptsize $\pm$ 1.07,abla_most_family_joshi3,masakha_unseen_pos,"[42, 66, 17, 23]","[37.10101498947016, 37.830396529669436, 39.33041158587052, 39.13211594783334]",0.011915370341230413,0.5370336198415111,0.06278879148092834
23.25 \scriptsize $\pm$ 1.29,55.50 \scriptsize $\pm$ 0.37,39.37 \scriptsize $\pm$ 0.51,abla_most_family_joshi35,masakha_unseen_pos,"[42, 66, 17, 23]","[39.5692805191355, 39.05351854782912, 39.99817569509989, 38.873411261312945]",0.2234563212542765,0.17465420995698544,0.2819681787812826
21.38 \scriptsize $\pm$ 0.40,56.27 \scriptsize $\pm$ 0.95,38.83 \scriptsize $\pm$ 0.60,abla_most_family_seen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[37.96940729637898, 38.83968666634923, 39.23024034821222, 39.273698935512186]",0.04588485717554974,0.7197806810733637,0.05324914811031072
22.27 \scriptsize $\pm$ 1.36,55.99 \scriptsize $\pm$ 0.91,39.13 \scriptsize $\pm$ 0.43,abla_most_family_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[39.63260436754196, 38.63806023965902, 39.28900199496103, 38.974996716711786]",0.18581012278880152,0.3699616957429775,0.2290381104828337
24.80 \scriptsize $\pm$ 1.79,54.06 \scriptsize $\pm$ 0.96,39.43 \scriptsize $\pm$ 0.68,abla_most_family_unseen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[38.950596602687696, 39.01940315376458, 40.41620838335034, 39.33569061239817]",0.1552187300377665,0.16739904920929266,0.2728841043377328
24.11 \scriptsize $\pm$ 1.13,53.98 \scriptsize $\pm$ 1.33,39.04 \scriptsize $\pm$ 0.80,abla_most_family_unseen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[38.504694108948975, 38.879764085738245, 38.563928601018674, 40.21526063723485]",0.0777094835879768,0.5103026244440835,0.14477449874318551
21.77 \scriptsize $\pm$ 1.40,54.92 \scriptsize $\pm$ 0.76,38.34 \scriptsize $\pm$ 0.94,abla_most_script_joshi2,masakha_unseen_pos,"[42, 66, 17, 23]","[38.90196406559805, 36.941718654702235, 38.7970708520641, 38.737102981939636]",0.08607611237377749,0.5989040506736902,0.1470930219950528
20.49 \scriptsize $\pm$ 1.52,54.87 \scriptsize $\pm$ 1.26,37.68 \scriptsize $\pm$ 1.36,abla_most_script_joshi3,masakha_unseen_pos,"[42, 66, 17, 23]","[36.65301527919407, 37.07248953392507, 37.320251845622515, 39.67553757115206]",0.010745785102431094,0.2366313592771886,0.05355668446094953
20.99 \scriptsize $\pm$ 1.05,54.97 \scriptsize $\pm$ 1.41,37.98 \scriptsize $\pm$ 1.03,abla_most_script_joshi35,masakha_unseen_pos,"[42, 66, 17, 23]","[38.05112749067134, 37.11062087455052, 37.34962007418245, 39.41048006020638]",0.044577381148473004,0.3222109214984807,0.08463306249925517
20.85 \scriptsize $\pm$ 1.27,54.61 \scriptsize $\pm$ 1.53,37.73 \scriptsize $\pm$ 1.11,abla_most_script_joshi45,masakha_unseen_pos,"[42, 66, 17, 23]","[36.337677829424344, 37.62900328697309, 37.90508521896179, 39.04317928469399]",0.004572442490955643,0.15347202003274635,0.022879957685530496
20.24 \scriptsize $\pm$ 1.86,55.06 \scriptsize $\pm$ 2.25,37.65 \scriptsize $\pm$ 1.89,abla_most_script_seen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[36.24891965279882, 39.755028123429064, 35.876346328091955, 38.71697286987717]",0.059489470033112196,0.2793922208484549,0.02477864908379639
20.24 \scriptsize $\pm$ 1.86,55.06 \scriptsize $\pm$ 2.25,37.65 \scriptsize $\pm$ 1.89,abla_most_script_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[36.24891965279882, 39.755028123429064, 35.876346328091955, 38.71697286987717]",0.059489470033112196,0.2793922208484549,0.02477864908379639
23.58 \scriptsize $\pm$ 0.84,54.89 \scriptsize $\pm$ 0.59,39.24 \scriptsize $\pm$ 0.67,abla_most_uriel_joshi2,masakha_unseen_pos,"[42, 66, 17, 23]","[38.364239616647815, 39.3454771431034, 40.00436874530717, 39.22806540367691]",0.09714034009852783,0.17085852944811744,0.10494323914896433
21.46 \scriptsize $\pm$ 0.88,56.40 \scriptsize $\pm$ 0.72,38.93 \scriptsize $\pm$ 0.61,abla_most_uriel_joshi3,masakha_unseen_pos,"[42, 66, 17, 23]","[38.22380815486457, 39.72261698769001, 38.84842674789684, 38.91778819051466]",0.09951393134874287,0.19503146702009383,0.015208405896617063
21.67 \scriptsize $\pm$ 1.46,56.09 \scriptsize $\pm$ 0.80,38.88 \scriptsize $\pm$ 1.05,abla_most_uriel_joshi35,masakha_unseen_pos,"[42, 66, 17, 23]","[38.027036129528, 40.40525953119423, 38.417537273022006, 38.66622008573225]",0.1317451599603352,0.6842892124704211,0.006657626756548755
21.69 \scriptsize $\pm$ 1.71,54.62 \scriptsize $\pm$ 0.61,38.15 \scriptsize $\pm$ 0.83,abla_most_uriel_joshi45,masakha_unseen_pos,"[42, 66, 17, 23]","[37.941905259473614, 37.088496463577606, 38.61137362702848, 38.96358365567902]",0.03553215530844334,0.366783511921402,0.08422152365907673
20.78 \scriptsize $\pm$ 0.92,55.61 \scriptsize $\pm$ 2.08,38.20 \scriptsize $\pm$ 1.31,abla_most_uriel_seen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[36.347151289026726, 39.30663329583005, 38.904666552934295, 38.23031643528577]",0.0280106327120461,0.37098984738574575,0.003920884379335455
22.51 \scriptsize $\pm$ 1.52,56.10 \scriptsize $\pm$ 0.66,39.31 \scriptsize $\pm$ 0.53,abla_most_uriel_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[40.10616651329301, 39.043649970903815, 39.08188854737829, 39.003209101154006]",0.25856149230411013,0.2576146278996097,0.3013511626190602
23.64 \scriptsize $\pm$ 0.78,55.06 \scriptsize $\pm$ 1.04,39.35 \scriptsize $\pm$ 0.35,abla_most_uriel_unseen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[39.56101328290878, 38.857589295507395, 39.62916850215096, 39.35400491206401]",0.19487556469681666,0.16820537478602413,0.27834979745435046
22.78 \scriptsize $\pm$ 0.61,54.28 \scriptsize $\pm$ 1.62,38.53 \scriptsize $\pm$ 0.78,abla_most_uriel_unseen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[37.44110592777319, 38.84052943936407, 38.572639174715206, 39.26813634573275]",0.027615571521371913,0.5815063972884955,0.022473174509491718
22.98 \scriptsize $\pm$ 1.45,54.58 \scriptsize $\pm$ 1.37,38.78 \scriptsize $\pm$ 1.10,abla_random_joshi2,masakha_unseen_pos,"[42, 66, 17, 23]","[37.279682868616824, 39.60541756085051, 38.647035664311545, 39.593189075542924]",0.03763535452468241,0.8954032988666425,0.016252439677720793
18.85 \scriptsize $\pm$ 0.23,55.68 \scriptsize $\pm$ 1.77,37.27 \scriptsize $\pm$ 0.97,abla_random_joshi3,masakha_unseen_pos,"[42, 66, 17, 23]","[36.449970316541226, 36.91088151092173, 37.0306027794726, 38.67261897119337]",0.00885409252942193,0.06473416684854594,0.021895047231818978
