final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_mya_accuracy,final_eval_ind_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
64.42 \scriptsize $\pm$ 0.21,67.10 \scriptsize $\pm$ 0.73,69.30 \scriptsize $\pm$ 0.57,66.28 \scriptsize $\pm$ 0.34,73.02 \scriptsize $\pm$ 0.38,72.50 \scriptsize $\pm$ 0.62,59.95 \scriptsize $\pm$ 0.18,67.34 \scriptsize $\pm$ 0.35,52.69 \scriptsize $\pm$ 1.01,61.82 \scriptsize $\pm$ 0.69,58.54 \scriptsize $\pm$ 0.61,68.88 \scriptsize $\pm$ 0.15,68.97 \scriptsize $\pm$ 0.52,35.67 \scriptsize $\pm$ 0.33,40.50 \scriptsize $\pm$ 0.47,51.62 \scriptsize $\pm$ 1.12,40.79 \scriptsize $\pm$ 1.91,41.46 \scriptsize $\pm$ 3.28,32.96 \scriptsize $\pm$ 0.97,44.96 \scriptsize $\pm$ 1.12,53.79 \scriptsize $\pm$ 1.57,41.83 \scriptsize $\pm$ 1.42,41.96 \scriptsize $\pm$ 1.91,46.87 \scriptsize $\pm$ 1.56,39.33 \scriptsize $\pm$ 0.97,41.29 \scriptsize $\pm$ 1.71,39.33 \scriptsize $\pm$ 2.31,44.71 \scriptsize $\pm$ 0.96,39.88 \scriptsize $\pm$ 0.67,56.16 \scriptsize $\pm$ 0.91,65.24 \scriptsize $\pm$ 0.50,81.42 \scriptsize $\pm$ 0.27,54.08 \scriptsize $\pm$ 0.59,abla_most_family_joshi2,xnli,"[42, 66, 17, 23]","[54.90352714477211, 53.9136730727553, 53.500381107757676, 54.00568969300007]",0.01757379474231672,0.16886075992708235,0.06216294305764958
64.01 \scriptsize $\pm$ 0.33,68.12 \scriptsize $\pm$ 0.56,69.75 \scriptsize $\pm$ 0.34,65.75 \scriptsize $\pm$ 0.43,73.60 \scriptsize $\pm$ 0.34,73.27 \scriptsize $\pm$ 0.52,59.74 \scriptsize $\pm$ 1.12,67.39 \scriptsize $\pm$ 0.68,56.62 \scriptsize $\pm$ 0.70,62.23 \scriptsize $\pm$ 0.52,58.26 \scriptsize $\pm$ 0.65,69.07 \scriptsize $\pm$ 0.39,68.83 \scriptsize $\pm$ 0.24,35.38 \scriptsize $\pm$ 0.16,37.21 \scriptsize $\pm$ 0.25,42.04 \scriptsize $\pm$ 1.67,39.38 \scriptsize $\pm$ 0.84,40.08 \scriptsize $\pm$ 0.99,33.92 \scriptsize $\pm$ 0.91,41.42 \scriptsize $\pm$ 2.29,40.33 \scriptsize $\pm$ 0.68,37.79 \scriptsize $\pm$ 0.58,40.92 \scriptsize $\pm$ 1.38,46.62 \scriptsize $\pm$ 0.53,37.75 \scriptsize $\pm$ 1.00,38.50 \scriptsize $\pm$ 1.73,38.54 \scriptsize $\pm$ 0.80,45.54 \scriptsize $\pm$ 0.80,40.08 \scriptsize $\pm$ 1.75,55.02 \scriptsize $\pm$ 0.44,64.71 \scriptsize $\pm$ 0.67,81.17 \scriptsize $\pm$ 0.29,52.91 \scriptsize $\pm$ 0.41,abla_most_family_joshi3,xnli,"[42, 66, 17, 23]","[52.623345718081254, 52.573860740315624, 52.9752618589898, 53.45767387811508]",0.0010439824906333624,0.06505587336440798,0.0010655428243485884
64.15 \scriptsize $\pm$ 0.42,67.90 \scriptsize $\pm$ 0.38,69.47 \scriptsize $\pm$ 0.61,65.73 \scriptsize $\pm$ 0.49,73.50 \scriptsize $\pm$ 0.47,72.83 \scriptsize $\pm$ 0.47,59.79 \scriptsize $\pm$ 0.71,67.13 \scriptsize $\pm$ 0.59,57.77 \scriptsize $\pm$ 0.56,62.21 \scriptsize $\pm$ 0.56,57.44 \scriptsize $\pm$ 0.11,69.23 \scriptsize $\pm$ 0.50,68.93 \scriptsize $\pm$ 0.22,35.29 \scriptsize $\pm$ 0.08,38.08 \scriptsize $\pm$ 1.22,43.04 \scriptsize $\pm$ 0.96,39.25 \scriptsize $\pm$ 0.75,38.87 \scriptsize $\pm$ 1.85,35.29 \scriptsize $\pm$ 0.69,40.75 \scriptsize $\pm$ 0.97,39.50 \scriptsize $\pm$ 0.41,38.00 \scriptsize $\pm$ 0.91,41.04 \scriptsize $\pm$ 1.29,49.00 \scriptsize $\pm$ 1.06,38.29 \scriptsize $\pm$ 1.50,40.17 \scriptsize $\pm$ 1.27,38.12 \scriptsize $\pm$ 0.93,45.42 \scriptsize $\pm$ 0.35,39.25 \scriptsize $\pm$ 1.34,56.38 \scriptsize $\pm$ 0.92,65.19 \scriptsize $\pm$ 0.20,81.02 \scriptsize $\pm$ 0.32,53.06 \scriptsize $\pm$ 0.32,abla_most_family_joshi35,xnli,"[42, 66, 17, 23]","[52.83338784896694, 52.75325204149342, 53.28095325769374, 53.387081483815194]",0.0015718859245729886,0.14286110445619346,0.001640048646532741
65.26 \scriptsize $\pm$ 0.75,68.45 \scriptsize $\pm$ 0.61,69.93 \scriptsize $\pm$ 0.46,66.38 \scriptsize $\pm$ 0.48,73.65 \scriptsize $\pm$ 0.13,73.57 \scriptsize $\pm$ 0.41,59.62 \scriptsize $\pm$ 0.77,67.79 \scriptsize $\pm$ 0.49,54.49 \scriptsize $\pm$ 0.58,62.22 \scriptsize $\pm$ 0.84,56.92 \scriptsize $\pm$ 0.95,69.49 \scriptsize $\pm$ 0.42,69.20 \scriptsize $\pm$ 0.13,35.54 \scriptsize $\pm$ 0.21,38.25 \scriptsize $\pm$ 0.88,42.79 \scriptsize $\pm$ 1.82,40.58 \scriptsize $\pm$ 1.20,38.42 \scriptsize $\pm$ 0.32,35.62 \scriptsize $\pm$ 2.32,42.54 \scriptsize $\pm$ 0.63,41.04 \scriptsize $\pm$ 1.94,38.58 \scriptsize $\pm$ 1.10,41.38 \scriptsize $\pm$ 0.34,47.83 \scriptsize $\pm$ 1.43,38.42 \scriptsize $\pm$ 1.24,40.88 \scriptsize $\pm$ 1.23,39.04 \scriptsize $\pm$ 0.55,55.04 \scriptsize $\pm$ 0.16,39.04 \scriptsize $\pm$ 1.95,55.58 \scriptsize $\pm$ 0.80,64.89 \scriptsize $\pm$ 0.41,81.34 \scriptsize $\pm$ 0.28,53.56 \scriptsize $\pm$ 0.24,abla_most_family_seen_mbert,xnli,"[42, 66, 17, 23]","[53.88546624913711, 53.417499117047406, 53.565481219197, 53.352175926297534]",0.0036373070997912363,0.7687440663132694,0.008240908220756514
65.04 \scriptsize $\pm$ 0.17,68.20 \scriptsize $\pm$ 0.36,70.19 \scriptsize $\pm$ 0.58,66.15 \scriptsize $\pm$ 0.69,73.43 \scriptsize $\pm$ 0.33,73.60 \scriptsize $\pm$ 0.51,59.66 \scriptsize $\pm$ 0.59,67.89 \scriptsize $\pm$ 0.40,54.83 \scriptsize $\pm$ 1.57,61.15 \scriptsize $\pm$ 0.55,57.66 \scriptsize $\pm$ 0.37,69.60 \scriptsize $\pm$ 0.53,69.25 \scriptsize $\pm$ 0.46,35.42 \scriptsize $\pm$ 0.10,38.46 \scriptsize $\pm$ 0.75,43.71 \scriptsize $\pm$ 1.80,41.42 \scriptsize $\pm$ 1.17,42.54 \scriptsize $\pm$ 2.64,35.12 \scriptsize $\pm$ 1.31,42.71 \scriptsize $\pm$ 2.00,54.33 \scriptsize $\pm$ 1.60,41.88 \scriptsize $\pm$ 2.67,41.58 \scriptsize $\pm$ 1.22,47.08 \scriptsize $\pm$ 1.08,38.50 \scriptsize $\pm$ 1.04,40.71 \scriptsize $\pm$ 1.31,48.29 \scriptsize $\pm$ 1.56,45.25 \scriptsize $\pm$ 2.10,45.67 \scriptsize $\pm$ 1.83,55.38 \scriptsize $\pm$ 0.80,64.59 \scriptsize $\pm$ 0.16,81.20 \scriptsize $\pm$ 0.04,54.39 \scriptsize $\pm$ 0.58,abla_most_family_seen_xlmr,xnli,"[42, 66, 17, 23]","[53.75470958217613, 54.28473507074323, 54.37217371557155, 55.15104358976417]",0.027632175939468664,0.02516540141427193,0.16772010243877195
64.78 \scriptsize $\pm$ 0.45,67.07 \scriptsize $\pm$ 0.69,69.38 \scriptsize $\pm$ 0.48,66.51 \scriptsize $\pm$ 0.10,73.38 \scriptsize $\pm$ 0.47,72.86 \scriptsize $\pm$ 0.27,60.78 \scriptsize $\pm$ 0.38,67.68 \scriptsize $\pm$ 0.31,52.64 \scriptsize $\pm$ 1.48,60.10 \scriptsize $\pm$ 0.68,58.31 \scriptsize $\pm$ 0.96,70.05 \scriptsize $\pm$ 0.40,69.06 \scriptsize $\pm$ 0.37,36.04 \scriptsize $\pm$ 0.83,40.83 \scriptsize $\pm$ 2.21,50.83 \scriptsize $\pm$ 2.61,40.71 \scriptsize $\pm$ 0.84,44.46 \scriptsize $\pm$ 1.65,33.04 \scriptsize $\pm$ 0.82,43.50 \scriptsize $\pm$ 1.67,52.42 \scriptsize $\pm$ 1.02,50.29 \scriptsize $\pm$ 0.50,41.75 \scriptsize $\pm$ 1.31,50.08 \scriptsize $\pm$ 1.13,44.04 \scriptsize $\pm$ 0.60,40.92 \scriptsize $\pm$ 0.52,40.71 \scriptsize $\pm$ 1.25,41.54 \scriptsize $\pm$ 2.14,42.33 \scriptsize $\pm$ 1.08,53.27 \scriptsize $\pm$ 0.35,64.34 \scriptsize $\pm$ 0.28,81.43 \scriptsize $\pm$ 0.39,54.54 \scriptsize $\pm$ 0.37,abla_most_family_unseen_mbert,xnli,"[42, 66, 17, 23]","[54.77538697738572, 54.50099984347658, 54.02815280966218, 54.83840571203437]",0.0015651423783942101,0.0055735992408103225,0.12136140066238613
63.84 \scriptsize $\pm$ 0.84,67.23 \scriptsize $\pm$ 0.94,69.18 \scriptsize $\pm$ 0.92,66.19 \scriptsize $\pm$ 0.34,72.92 \scriptsize $\pm$ 0.23,72.08 \scriptsize $\pm$ 0.51,60.91 \scriptsize $\pm$ 0.70,67.59 \scriptsize $\pm$ 0.16,53.66 \scriptsize $\pm$ 0.20,59.77 \scriptsize $\pm$ 0.37,57.64 \scriptsize $\pm$ 0.45,69.75 \scriptsize $\pm$ 0.34,68.86 \scriptsize $\pm$ 0.22,35.29 \scriptsize $\pm$ 0.28,40.71 \scriptsize $\pm$ 0.90,42.75 \scriptsize $\pm$ 1.58,41.46 \scriptsize $\pm$ 1.18,42.75 \scriptsize $\pm$ 1.79,34.58 \scriptsize $\pm$ 1.17,45.50 \scriptsize $\pm$ 2.50,43.00 \scriptsize $\pm$ 0.68,49.33 \scriptsize $\pm$ 1.78,42.46 \scriptsize $\pm$ 1.58,49.21 \scriptsize $\pm$ 1.34,44.62 \scriptsize $\pm$ 1.27,45.29 \scriptsize $\pm$ 2.25,44.04 \scriptsize $\pm$ 1.03,49.71 \scriptsize $\pm$ 2.87,47.50 \scriptsize $\pm$ 1.66,52.72 \scriptsize $\pm$ 0.94,64.50 \scriptsize $\pm$ 0.51,81.19 \scriptsize $\pm$ 0.44,54.57 \scriptsize $\pm$ 0.36,abla_most_family_unseen_xlmr,xnli,"[42, 66, 17, 23]","[54.23458528653151, 54.51577140624916, 54.44455684810005, 55.085538122816025]",0.009150582813740912,0.0024045135705483786,0.1913051117321308
64.99 \scriptsize $\pm$ 0.89,67.72 \scriptsize $\pm$ 0.15,69.85 \scriptsize $\pm$ 0.40,66.41 \scriptsize $\pm$ 0.54,73.20 \scriptsize $\pm$ 0.13,73.22 \scriptsize $\pm$ 0.33,59.94 \scriptsize $\pm$ 1.02,68.17 \scriptsize $\pm$ 0.25,53.72 \scriptsize $\pm$ 0.40,60.99 \scriptsize $\pm$ 0.65,57.93 \scriptsize $\pm$ 1.05,69.68 \scriptsize $\pm$ 0.95,68.74 \scriptsize $\pm$ 0.44,36.29 \scriptsize $\pm$ 0.77,39.71 \scriptsize $\pm$ 0.53,43.46 \scriptsize $\pm$ 0.89,41.50 \scriptsize $\pm$ 1.23,40.67 \scriptsize $\pm$ 0.85,33.83 \scriptsize $\pm$ 1.38,44.58 \scriptsize $\pm$ 1.73,53.50 \scriptsize $\pm$ 1.57,40.71 \scriptsize $\pm$ 0.99,42.08 \scriptsize $\pm$ 1.96,46.71 \scriptsize $\pm$ 1.31,38.38 \scriptsize $\pm$ 1.59,40.88 \scriptsize $\pm$ 1.55,39.33 \scriptsize $\pm$ 1.24,54.33 \scriptsize $\pm$ 0.86,40.12 \scriptsize $\pm$ 1.88,55.92 \scriptsize $\pm$ 0.85,65.01 \scriptsize $\pm$ 0.58,81.13 \scriptsize $\pm$ 0.31,54.15 \scriptsize $\pm$ 0.17,abla_most_script_joshi2,xnli,"[42, 66, 17, 23]","[54.227735714897285, 54.34895365100897, 54.036038512786774, 53.97521269458402]",0.0061265372286659495,0.02828915866529813,0.06419596853530449
64.56 \scriptsize $\pm$ 0.34,68.62 \scriptsize $\pm$ 0.39,70.17 \scriptsize $\pm$ 0.33,65.79 \scriptsize $\pm$ 0.63,73.72 \scriptsize $\pm$ 0.38,73.17 \scriptsize $\pm$ 0.46,59.69 \scriptsize $\pm$ 0.66,67.65 \scriptsize $\pm$ 0.44,57.16 \scriptsize $\pm$ 0.90,62.47 \scriptsize $\pm$ 0.29,57.97 \scriptsize $\pm$ 0.66,69.57 \scriptsize $\pm$ 0.47,68.70 \scriptsize $\pm$ 0.40,35.29 \scriptsize $\pm$ 0.08,36.25 \scriptsize $\pm$ 0.78,40.88 \scriptsize $\pm$ 0.82,38.75 \scriptsize $\pm$ 0.29,37.67 \scriptsize $\pm$ 0.83,34.38 \scriptsize $\pm$ 0.81,39.42 \scriptsize $\pm$ 1.71,39.88 \scriptsize $\pm$ 0.64,38.29 \scriptsize $\pm$ 1.82,39.08 \scriptsize $\pm$ 0.62,47.42 \scriptsize $\pm$ 0.78,36.88 \scriptsize $\pm$ 0.93,37.79 \scriptsize $\pm$ 1.87,37.88 \scriptsize $\pm$ 0.98,45.33 \scriptsize $\pm$ 0.78,39.12 \scriptsize $\pm$ 1.16,54.81 \scriptsize $\pm$ 0.39,64.89 \scriptsize $\pm$ 0.22,81.14 \scriptsize $\pm$ 0.25,52.64 \scriptsize $\pm$ 0.17,abla_most_script_joshi3,xnli,"[42, 66, 17, 23]","[52.6599928494218, 52.645426556404615, 52.83172662717461, 52.408981718198994]",0.001349940312984906,0.03416025550168541,0.003115923118061265
64.91 \scriptsize $\pm$ 0.48,68.04 \scriptsize $\pm$ 0.51,70.48 \scriptsize $\pm$ 0.36,65.57 \scriptsize $\pm$ 0.88,73.60 \scriptsize $\pm$ 0.15,72.96 \scriptsize $\pm$ 0.48,58.92 \scriptsize $\pm$ 0.39,67.68 \scriptsize $\pm$ 0.57,56.54 \scriptsize $\pm$ 0.67,62.53 \scriptsize $\pm$ 0.40,56.92 \scriptsize $\pm$ 1.02,69.12 \scriptsize $\pm$ 0.25,69.17 \scriptsize $\pm$ 0.49,35.29 \scriptsize $\pm$ 0.32,37.58 \scriptsize $\pm$ 0.50,40.00 \scriptsize $\pm$ 1.74,37.79 \scriptsize $\pm$ 1.13,38.08 \scriptsize $\pm$ 1.29,34.50 \scriptsize $\pm$ 1.23,40.71 \scriptsize $\pm$ 0.70,39.25 \scriptsize $\pm$ 1.17,37.42 \scriptsize $\pm$ 1.52,39.75 \scriptsize $\pm$ 1.20,48.38 \scriptsize $\pm$ 0.64,37.38 \scriptsize $\pm$ 0.93,37.50 \scriptsize $\pm$ 1.11,37.42 \scriptsize $\pm$ 2.02,44.83 \scriptsize $\pm$ 1.46,38.25 \scriptsize $\pm$ 1.58,55.98 \scriptsize $\pm$ 0.44,65.41 \scriptsize $\pm$ 0.26,81.25 \scriptsize $\pm$ 0.06,52.60 \scriptsize $\pm$ 0.18,abla_most_script_joshi35,xnli,"[42, 66, 17, 23]","[52.58673153023711, 52.57500498333091, 52.396894130639545, 52.84259639233598]",2.4273304762567958e-05,0.0019440446033761464,0.0006056730656899607
