eval_ar_f1,eval_de_f1,eval_el_f1,eval_es_f1,eval_hi_f1,eval_ru_f1,eval_th_f1,eval_tr_f1,eval_vi_f1,eval_zh_f1,eval_ind_f1,eval_same_f1,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
44.78 \scriptsize $\pm$ 0.83,59.43 \scriptsize $\pm$ 2.04,42.04 \scriptsize $\pm$ 2.57,62.04 \scriptsize $\pm$ 0.48,36.40 \scriptsize $\pm$ 1.49,57.68 \scriptsize $\pm$ 1.47,24.72 \scriptsize $\pm$ 2.04,34.82 \scriptsize $\pm$ 1.64,54.69 \scriptsize $\pm$ 0.50,44.69 \scriptsize $\pm$ 1.70,50.56 \scriptsize $\pm$ 0.97,74.62 \scriptsize $\pm$ 0.41,48.87 \scriptsize $\pm$ 0.92,abla_most_family_joshi2,xquad,"[42, 66, 17, 23]","[49.58611094470118, 49.038407223781384, 49.32206412832857, 47.53672805758273]",0.008560853671750204,0.0015222112231066498,0.3954383324840899
46.74 \scriptsize $\pm$ 1.91,61.93 \scriptsize $\pm$ 0.72,46.81 \scriptsize $\pm$ 1.89,63.60 \scriptsize $\pm$ 1.63,38.95 \scriptsize $\pm$ 0.85,59.13 \scriptsize $\pm$ 0.64,29.46 \scriptsize $\pm$ 2.23,37.60 \scriptsize $\pm$ 0.90,55.96 \scriptsize $\pm$ 0.95,46.43 \scriptsize $\pm$ 0.72,53.68 \scriptsize $\pm$ 1.00,75.09 \scriptsize $\pm$ 0.38,51.28 \scriptsize $\pm$ 0.77,abla_most_family_joshi3,xquad,"[42, 66, 17, 23]","[50.16513321613305, 51.929035528861384, 51.49181325719561, 51.54284455423081]",0.4655616101541093,0.6210256731170093,0.004352955616848645
48.88 \scriptsize $\pm$ 0.46,62.20 \scriptsize $\pm$ 0.91,49.68 \scriptsize $\pm$ 1.39,63.96 \scriptsize $\pm$ 1.23,40.04 \scriptsize $\pm$ 1.93,59.73 \scriptsize $\pm$ 0.58,31.32 \scriptsize $\pm$ 1.08,40.73 \scriptsize $\pm$ 1.64,60.56 \scriptsize $\pm$ 0.85,47.87 \scriptsize $\pm$ 1.70,55.22 \scriptsize $\pm$ 2.24,75.16 \scriptsize $\pm$ 0.16,52.95 \scriptsize $\pm$ 0.74,abla_most_family_joshi35,xquad,"[42, 66, 17, 23]","[53.79455229408805, 53.33239873177112, 52.40143861942221, 52.252830465999686]",0.005248532486206403,0.029361889830091182,0.004071814266684695
48.29 \scriptsize $\pm$ 1.02,61.34 \scriptsize $\pm$ 1.01,45.11 \scriptsize $\pm$ 2.18,63.95 \scriptsize $\pm$ 0.83,38.62 \scriptsize $\pm$ 0.88,58.77 \scriptsize $\pm$ 1.31,25.07 \scriptsize $\pm$ 1.93,38.76 \scriptsize $\pm$ 1.74,57.97 \scriptsize $\pm$ 0.33,45.78 \scriptsize $\pm$ 2.02,53.23 \scriptsize $\pm$ 0.62,74.75 \scriptsize $\pm$ 0.55,50.97 \scriptsize $\pm$ 0.64,abla_most_family_seen_mbert,xquad,"[42, 66, 17, 23]","[51.89364262262536, 50.877445722467506, 50.50756490905216, 50.6011395471642]",0.5904804384943106,0.06448989106486741,0.0473876892009431
47.98 \scriptsize $\pm$ 1.76,60.50 \scriptsize $\pm$ 1.10,45.08 \scriptsize $\pm$ 0.81,63.05 \scriptsize $\pm$ 1.86,38.01 \scriptsize $\pm$ 1.91,58.52 \scriptsize $\pm$ 0.71,25.34 \scriptsize $\pm$ 1.80,35.74 \scriptsize $\pm$ 1.45,58.59 \scriptsize $\pm$ 1.25,47.64 \scriptsize $\pm$ 0.69,52.78 \scriptsize $\pm$ 1.04,75.01 \scriptsize $\pm$ 0.41,50.69 \scriptsize $\pm$ 0.54,abla_most_family_seen_xlmr,xquad,"[42, 66, 17, 23]","[51.35062126842948, 50.6637442292124, 50.019170402955986, 50.709823884631135]",0.6053533927946655,0.07404843693173269,0.05622968716531797
45.59 \scriptsize $\pm$ 1.41,59.38 \scriptsize $\pm$ 1.63,43.33 \scriptsize $\pm$ 0.94,61.33 \scriptsize $\pm$ 0.66,37.91 \scriptsize $\pm$ 2.54,57.49 \scriptsize $\pm$ 0.73,28.26 \scriptsize $\pm$ 1.36,35.00 \scriptsize $\pm$ 0.99,54.55 \scriptsize $\pm$ 3.04,45.34 \scriptsize $\pm$ 1.28,49.85 \scriptsize $\pm$ 1.24,74.53 \scriptsize $\pm$ 0.60,49.38 \scriptsize $\pm$ 1.12,abla_most_family_unseen_mbert,xquad,"[42, 66, 17, 23]","[50.92278879729856, 49.488354384523255, 48.60701515277055, 48.49699567833532]",0.04599615970061904,0.008854364463842473,0.9676637639275119
45.69 \scriptsize $\pm$ 1.78,59.92 \scriptsize $\pm$ 0.62,45.08 \scriptsize $\pm$ 1.58,63.68 \scriptsize $\pm$ 0.33,38.65 \scriptsize $\pm$ 1.05,57.53 \scriptsize $\pm$ 0.87,27.75 \scriptsize $\pm$ 2.93,33.98 \scriptsize $\pm$ 1.47,55.58 \scriptsize $\pm$ 0.57,46.16 \scriptsize $\pm$ 0.38,49.35 \scriptsize $\pm$ 1.32,74.57 \scriptsize $\pm$ 0.21,49.83 \scriptsize $\pm$ 0.44,abla_most_family_unseen_xlmr,xquad,"[42, 66, 17, 23]","[49.185335071092645, 50.08266066610639, 50.142478414863355, 49.89903349872112]",0.06642961535202953,0.04203064424007792,0.12904431245879766
44.33 \scriptsize $\pm$ 1.00,61.08 \scriptsize $\pm$ 1.65,42.75 \scriptsize $\pm$ 1.90,62.46 \scriptsize $\pm$ 1.82,36.94 \scriptsize $\pm$ 1.04,57.91 \scriptsize $\pm$ 0.43,24.99 \scriptsize $\pm$ 1.91,35.03 \scriptsize $\pm$ 1.69,55.77 \scriptsize $\pm$ 0.94,46.21 \scriptsize $\pm$ 1.09,49.24 \scriptsize $\pm$ 1.78,74.56 \scriptsize $\pm$ 0.46,49.27 \scriptsize $\pm$ 0.96,abla_most_script_joshi2,xquad,"[42, 66, 17, 23]","[50.21330216214151, 47.981921051326616, 49.19927924560219, 49.698846681367]",0.03662719470671924,0.011620564586841551,0.8643253368866395
45.46 \scriptsize $\pm$ 1.43,61.97 \scriptsize $\pm$ 1.13,48.28 \scriptsize $\pm$ 1.51,62.78 \scriptsize $\pm$ 2.20,38.63 \scriptsize $\pm$ 0.75,58.94 \scriptsize $\pm$ 1.46,30.00 \scriptsize $\pm$ 1.29,36.87 \scriptsize $\pm$ 0.93,55.90 \scriptsize $\pm$ 1.81,46.12 \scriptsize $\pm$ 0.97,51.63 \scriptsize $\pm$ 0.68,74.76 \scriptsize $\pm$ 0.59,50.94 \scriptsize $\pm$ 0.79,abla_most_script_joshi3,xquad,"[42, 66, 17, 23]","[50.75027117901212, 51.98597250368763, 50.95983292317822, 50.079043424089356]",0.8134280974337068,0.26018453444097095,0.008957709152461336
49.03 \scriptsize $\pm$ 1.29,61.93 \scriptsize $\pm$ 0.54,49.53 \scriptsize $\pm$ 0.70,63.93 \scriptsize $\pm$ 0.83,38.74 \scriptsize $\pm$ 1.14,59.34 \scriptsize $\pm$ 0.78,30.72 \scriptsize $\pm$ 1.05,39.95 \scriptsize $\pm$ 0.37,58.28 \scriptsize $\pm$ 0.89,46.71 \scriptsize $\pm$ 0.80,52.21 \scriptsize $\pm$ 0.88,75.06 \scriptsize $\pm$ 0.07,52.12 \scriptsize $\pm$ 0.29,abla_most_script_joshi35,xquad,"[42, 66, 17, 23]","[52.04886975965153, 51.7602717647813, 52.21973006679038, 52.444427697203245]",0.015193872638709225,0.3739662121697714,0.004936580046357823
