final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_et_accuracy,final_eval_eu_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_id_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_kk_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_mr_accuracy,final_eval_nl_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_ta_accuracy,final_eval_te_accuracy,final_eval_th_accuracy,final_eval_tl_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_bam_accuracy,final_eval_ewe_accuracy,final_eval_fon_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lug_accuracy,final_eval_luo_accuracy,final_eval_mos_accuracy,final_eval_nya_accuracy,final_eval_sna_accuracy,final_eval_swa_accuracy,final_eval_tsn_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
85.76 \scriptsize $\pm$ 0.68,64.58 \scriptsize $\pm$ 0.54,87.57 \scriptsize $\pm$ 0.62,87.93 \scriptsize $\pm$ 0.63,84.49 \scriptsize $\pm$ 0.80,88.59 \scriptsize $\pm$ 0.49,78.57 \scriptsize $\pm$ 0.86,68.31 \scriptsize $\pm$ 0.89,73.12 \scriptsize $\pm$ 0.69,79.30 \scriptsize $\pm$ 0.38,85.25 \scriptsize $\pm$ 0.66,80.62 \scriptsize $\pm$ 0.97,69.04 \scriptsize $\pm$ 1.39,82.50 \scriptsize $\pm$ 0.48,84.98 \scriptsize $\pm$ 0.27,89.17 \scriptsize $\pm$ 0.39,50.46 \scriptsize $\pm$ 0.19,77.48 \scriptsize $\pm$ 0.37,62.63 \scriptsize $\pm$ 0.47,78.91 \scriptsize $\pm$ 0.32,77.79 \scriptsize $\pm$ 1.87,89.71 \scriptsize $\pm$ 0.21,82.96 \scriptsize $\pm$ 0.58,89.40 \scriptsize $\pm$ 0.55,78.75 \scriptsize $\pm$ 0.61,88.73 \scriptsize $\pm$ 0.18,70.39 \scriptsize $\pm$ 1.56,77.95 \scriptsize $\pm$ 0.80,50.43 \scriptsize $\pm$ 0.78,59.46 \scriptsize $\pm$ 0.93,74.39 \scriptsize $\pm$ 0.38,85.05 \scriptsize $\pm$ 0.55,63.25 \scriptsize $\pm$ 1.60,61.42 \scriptsize $\pm$ 0.54,69.68 \scriptsize $\pm$ 1.35,38.48 \scriptsize $\pm$ 1.53,39.89 \scriptsize $\pm$ 1.61,25.48 \scriptsize $\pm$ 0.59,44.56 \scriptsize $\pm$ 1.02,36.34 \scriptsize $\pm$ 2.16,31.35 \scriptsize $\pm$ 0.86,35.40 \scriptsize $\pm$ 1.47,45.04 \scriptsize $\pm$ 1.54,48.22 \scriptsize $\pm$ 0.37,37.76 \scriptsize $\pm$ 1.33,38.50 \scriptsize $\pm$ 1.38,48.72 \scriptsize $\pm$ 0.61,33.73 \scriptsize $\pm$ 0.43,27.55 \scriptsize $\pm$ 1.15,33.49 \scriptsize $\pm$ 1.35,43.59 \scriptsize $\pm$ 1.71,33.35 \scriptsize $\pm$ 1.53,37.92 \scriptsize $\pm$ 1.14,95.97 \scriptsize $\pm$ 0.03,63.96 \scriptsize $\pm$ 0.18,abla_most_family_joshi2,xtreme_r.udpos,"[42, 66, 17, 23]","[64.06536546612391, 63.940358041606615, 64.12538298568631, 63.71827930071293]",0.0004921611705768901,0.028060912826088132,3.969515166099446e-05
86.98 \scriptsize $\pm$ 0.55,64.72 \scriptsize $\pm$ 0.44,88.48 \scriptsize $\pm$ 0.68,88.09 \scriptsize $\pm$ 0.19,85.70 \scriptsize $\pm$ 0.73,88.62 \scriptsize $\pm$ 0.26,83.77 \scriptsize $\pm$ 0.52,71.27 \scriptsize $\pm$ 1.26,73.06 \scriptsize $\pm$ 0.56,81.26 \scriptsize $\pm$ 0.41,85.43 \scriptsize $\pm$ 0.17,79.53 \scriptsize $\pm$ 0.91,70.91 \scriptsize $\pm$ 1.82,82.21 \scriptsize $\pm$ 0.57,85.05 \scriptsize $\pm$ 0.13,89.63 \scriptsize $\pm$ 0.07,50.93 \scriptsize $\pm$ 1.30,79.64 \scriptsize $\pm$ 0.40,63.21 \scriptsize $\pm$ 0.32,81.87 \scriptsize $\pm$ 0.56,75.81 \scriptsize $\pm$ 0.97,89.86 \scriptsize $\pm$ 0.08,84.07 \scriptsize $\pm$ 0.27,89.68 \scriptsize $\pm$ 0.19,79.82 \scriptsize $\pm$ 0.28,88.74 \scriptsize $\pm$ 0.25,71.97 \scriptsize $\pm$ 1.21,80.13 \scriptsize $\pm$ 1.29,59.99 \scriptsize $\pm$ 1.11,62.92 \scriptsize $\pm$ 0.63,74.78 \scriptsize $\pm$ 0.33,85.25 \scriptsize $\pm$ 0.51,64.91 \scriptsize $\pm$ 2.55,62.60 \scriptsize $\pm$ 0.45,69.36 \scriptsize $\pm$ 0.75,33.36 \scriptsize $\pm$ 1.52,33.54 \scriptsize $\pm$ 1.03,21.12 \scriptsize $\pm$ 2.63,39.03 \scriptsize $\pm$ 1.36,33.91 \scriptsize $\pm$ 3.45,31.04 \scriptsize $\pm$ 1.04,34.59 \scriptsize $\pm$ 2.10,31.34 \scriptsize $\pm$ 0.83,34.50 \scriptsize $\pm$ 1.01,35.10 \scriptsize $\pm$ 1.99,36.11 \scriptsize $\pm$ 1.05,53.86 \scriptsize $\pm$ 0.26,27.89 \scriptsize $\pm$ 1.92,25.27 \scriptsize $\pm$ 2.44,30.17 \scriptsize $\pm$ 2.15,42.01 \scriptsize $\pm$ 1.09,36.69 \scriptsize $\pm$ 2.33,38.47 \scriptsize $\pm$ 2.02,96.00 \scriptsize $\pm$ 0.04,63.60 \scriptsize $\pm$ 0.49,abla_most_family_joshi3,xtreme_r.udpos,"[42, 66, 17, 23]","[63.416640351992456, 63.07838249849163, 64.24920745408355, 63.64496818142839]",0.00023271105675264723,0.02640490882822378,0.0032367803685274844
87.61 \scriptsize $\pm$ 0.69,64.19 \scriptsize $\pm$ 0.32,88.59 \scriptsize $\pm$ 0.52,88.27 \scriptsize $\pm$ 0.32,85.27 \scriptsize $\pm$ 0.45,88.39 \scriptsize $\pm$ 0.44,82.58 \scriptsize $\pm$ 0.35,71.13 \scriptsize $\pm$ 0.40,73.40 \scriptsize $\pm$ 0.79,81.27 \scriptsize $\pm$ 0.47,85.39 \scriptsize $\pm$ 0.51,80.87 \scriptsize $\pm$ 0.47,70.41 \scriptsize $\pm$ 1.71,82.32 \scriptsize $\pm$ 0.39,85.03 \scriptsize $\pm$ 0.19,89.21 \scriptsize $\pm$ 0.28,53.72 \scriptsize $\pm$ 1.60,79.33 \scriptsize $\pm$ 0.54,63.61 \scriptsize $\pm$ 0.32,81.23 \scriptsize $\pm$ 0.33,75.74 \scriptsize $\pm$ 1.24,89.95 \scriptsize $\pm$ 0.11,84.02 \scriptsize $\pm$ 0.48,89.36 \scriptsize $\pm$ 0.31,80.01 \scriptsize $\pm$ 0.50,88.87 \scriptsize $\pm$ 0.32,71.24 \scriptsize $\pm$ 0.66,79.61 \scriptsize $\pm$ 0.47,59.72 \scriptsize $\pm$ 0.82,62.86 \scriptsize $\pm$ 0.42,74.83 \scriptsize $\pm$ 0.61,85.38 \scriptsize $\pm$ 0.36,64.26 \scriptsize $\pm$ 2.44,61.85 \scriptsize $\pm$ 0.89,69.95 \scriptsize $\pm$ 0.87,34.35 \scriptsize $\pm$ 1.12,36.77 \scriptsize $\pm$ 1.02,24.98 \scriptsize $\pm$ 1.67,38.40 \scriptsize $\pm$ 1.17,35.28 \scriptsize $\pm$ 2.45,30.05 \scriptsize $\pm$ 2.12,32.69 \scriptsize $\pm$ 1.42,32.58 \scriptsize $\pm$ 2.41,36.10 \scriptsize $\pm$ 0.39,34.20 \scriptsize $\pm$ 1.75,34.01 \scriptsize $\pm$ 1.47,53.62 \scriptsize $\pm$ 1.26,28.43 \scriptsize $\pm$ 1.24,28.83 \scriptsize $\pm$ 0.56,31.88 \scriptsize $\pm$ 1.06,40.13 \scriptsize $\pm$ 2.04,36.02 \scriptsize $\pm$ 1.59,35.09 \scriptsize $\pm$ 2.11,96.00 \scriptsize $\pm$ 0.03,63.68 \scriptsize $\pm$ 0.23,abla_most_family_joshi35,xtreme_r.udpos,"[42, 66, 17, 23]","[63.805159037249545, 63.507822032224084, 63.94600869938049, 63.4724251666239]",0.00025517232418361335,0.017457362736183802,8.290321549428171e-05
88.12 \scriptsize $\pm$ 0.26,64.92 \scriptsize $\pm$ 0.43,88.03 \scriptsize $\pm$ 0.43,88.30 \scriptsize $\pm$ 0.27,86.27 \scriptsize $\pm$ 0.51,88.35 \scriptsize $\pm$ 0.54,82.09 \scriptsize $\pm$ 0.55,70.71 \scriptsize $\pm$ 0.91,73.83 \scriptsize $\pm$ 0.69,81.15 \scriptsize $\pm$ 0.35,85.16 \scriptsize $\pm$ 0.43,80.76 \scriptsize $\pm$ 0.64,69.54 \scriptsize $\pm$ 3.04,82.25 \scriptsize $\pm$ 0.25,85.15 \scriptsize $\pm$ 0.20,89.06 \scriptsize $\pm$ 0.40,52.87 \scriptsize $\pm$ 1.79,79.37 \scriptsize $\pm$ 0.43,63.19 \scriptsize $\pm$ 0.15,80.41 \scriptsize $\pm$ 0.33,75.96 \scriptsize $\pm$ 0.74,90.03 \scriptsize $\pm$ 0.11,84.42 \scriptsize $\pm$ 0.48,89.40 \scriptsize $\pm$ 0.41,79.76 \scriptsize $\pm$ 0.83,89.08 \scriptsize $\pm$ 0.28,72.82 \scriptsize $\pm$ 0.69,79.92 \scriptsize $\pm$ 1.22,53.83 \scriptsize $\pm$ 0.64,60.81 \scriptsize $\pm$ 0.94,75.44 \scriptsize $\pm$ 0.20,85.75 \scriptsize $\pm$ 0.52,63.72 \scriptsize $\pm$ 2.52,62.23 \scriptsize $\pm$ 0.36,69.95 \scriptsize $\pm$ 0.66,36.09 \scriptsize $\pm$ 1.02,37.91 \scriptsize $\pm$ 2.68,24.52 \scriptsize $\pm$ 0.96,37.61 \scriptsize $\pm$ 1.33,39.01 \scriptsize $\pm$ 2.06,33.82 \scriptsize $\pm$ 3.85,36.82 \scriptsize $\pm$ 4.78,32.67 \scriptsize $\pm$ 1.46,36.94 \scriptsize $\pm$ 1.03,35.56 \scriptsize $\pm$ 3.17,34.73 \scriptsize $\pm$ 2.64,52.62 \scriptsize $\pm$ 0.85,29.09 \scriptsize $\pm$ 2.02,29.51 \scriptsize $\pm$ 2.67,31.99 \scriptsize $\pm$ 1.23,42.99 \scriptsize $\pm$ 2.90,40.47 \scriptsize $\pm$ 0.83,38.23 \scriptsize $\pm$ 3.71,96.00 \scriptsize $\pm$ 0.02,64.06 \scriptsize $\pm$ 0.67,abla_most_family_seen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[63.22560556025151, 63.84410793285275, 64.72525174584116, 64.44220023217453]",0.0015024455126229437,0.07894012129309261,0.021448186880649745
87.57 \scriptsize $\pm$ 0.38,64.57 \scriptsize $\pm$ 0.37,88.33 \scriptsize $\pm$ 0.36,88.18 \scriptsize $\pm$ 0.27,85.27 \scriptsize $\pm$ 0.78,88.86 \scriptsize $\pm$ 0.10,79.78 \scriptsize $\pm$ 0.45,69.79 \scriptsize $\pm$ 1.70,74.22 \scriptsize $\pm$ 0.40,79.61 \scriptsize $\pm$ 0.44,85.29 \scriptsize $\pm$ 0.15,80.64 \scriptsize $\pm$ 0.30,70.91 \scriptsize $\pm$ 2.50,82.42 \scriptsize $\pm$ 0.13,84.99 \scriptsize $\pm$ 0.07,89.45 \scriptsize $\pm$ 0.11,52.45 \scriptsize $\pm$ 0.65,78.79 \scriptsize $\pm$ 0.82,63.13 \scriptsize $\pm$ 0.23,79.98 \scriptsize $\pm$ 0.24,75.15 \scriptsize $\pm$ 2.22,89.90 \scriptsize $\pm$ 0.18,84.12 \scriptsize $\pm$ 0.41,89.69 \scriptsize $\pm$ 0.09,80.20 \scriptsize $\pm$ 0.51,88.67 \scriptsize $\pm$ 0.27,70.81 \scriptsize $\pm$ 1.15,79.26 \scriptsize $\pm$ 0.24,52.52 \scriptsize $\pm$ 1.99,60.61 \scriptsize $\pm$ 1.57,74.44 \scriptsize $\pm$ 0.50,85.39 \scriptsize $\pm$ 0.51,64.85 \scriptsize $\pm$ 2.08,62.03 \scriptsize $\pm$ 0.34,69.30 \scriptsize $\pm$ 1.23,34.74 \scriptsize $\pm$ 0.63,39.09 \scriptsize $\pm$ 1.37,22.45 \scriptsize $\pm$ 0.66,36.04 \scriptsize $\pm$ 0.85,34.96 \scriptsize $\pm$ 3.05,39.12 \scriptsize $\pm$ 1.89,43.01 \scriptsize $\pm$ 0.87,35.88 \scriptsize $\pm$ 0.80,37.34 \scriptsize $\pm$ 1.24,39.88 \scriptsize $\pm$ 1.69,42.38 \scriptsize $\pm$ 1.03,50.56 \scriptsize $\pm$ 1.57,35.93 \scriptsize $\pm$ 0.51,30.23 \scriptsize $\pm$ 1.47,31.95 \scriptsize $\pm$ 1.04,44.31 \scriptsize $\pm$ 1.66,32.79 \scriptsize $\pm$ 1.20,41.99 \scriptsize $\pm$ 2.13,95.99 \scriptsize $\pm$ 0.02,64.26 \scriptsize $\pm$ 0.17,abla_most_family_seen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[64.2943128827624, 64.25793416020484, 64.02802382464691, 64.44537436303115]",0.0005075410795224761,0.005215217358810648,0.0020580027269538805
84.69 \scriptsize $\pm$ 0.22,63.96 \scriptsize $\pm$ 0.43,86.76 \scriptsize $\pm$ 0.42,87.64 \scriptsize $\pm$ 0.51,84.18 \scriptsize $\pm$ 1.18,87.89 \scriptsize $\pm$ 0.49,76.87 \scriptsize $\pm$ 1.13,66.15 \scriptsize $\pm$ 0.85,72.79 \scriptsize $\pm$ 0.82,77.85 \scriptsize $\pm$ 0.60,84.39 \scriptsize $\pm$ 0.31,79.32 \scriptsize $\pm$ 0.92,70.54 \scriptsize $\pm$ 2.26,81.76 \scriptsize $\pm$ 0.48,84.03 \scriptsize $\pm$ 0.31,88.93 \scriptsize $\pm$ 0.22,49.53 \scriptsize $\pm$ 1.45,74.81 \scriptsize $\pm$ 0.41,62.67 \scriptsize $\pm$ 0.23,75.72 \scriptsize $\pm$ 0.78,73.16 \scriptsize $\pm$ 2.13,89.58 \scriptsize $\pm$ 0.11,81.98 \scriptsize $\pm$ 0.53,89.32 \scriptsize $\pm$ 0.05,76.74 \scriptsize $\pm$ 0.22,88.39 \scriptsize $\pm$ 0.03,70.58 \scriptsize $\pm$ 1.00,77.67 \scriptsize $\pm$ 1.37,44.87 \scriptsize $\pm$ 1.51,58.60 \scriptsize $\pm$ 1.53,70.02 \scriptsize $\pm$ 0.25,84.41 \scriptsize $\pm$ 0.13,64.89 \scriptsize $\pm$ 2.57,61.10 \scriptsize $\pm$ 0.37,68.74 \scriptsize $\pm$ 1.14,48.09 \scriptsize $\pm$ 1.34,41.77 \scriptsize $\pm$ 2.88,31.77 \scriptsize $\pm$ 0.78,43.65 \scriptsize $\pm$ 1.28,38.32 \scriptsize $\pm$ 2.82,34.67 \scriptsize $\pm$ 1.36,39.70 \scriptsize $\pm$ 2.16,43.61 \scriptsize $\pm$ 1.18,45.52 \scriptsize $\pm$ 1.58,40.08 \scriptsize $\pm$ 0.50,46.11 \scriptsize $\pm$ 1.13,48.63 \scriptsize $\pm$ 0.90,36.13 \scriptsize $\pm$ 0.96,35.84 \scriptsize $\pm$ 1.07,35.52 \scriptsize $\pm$ 0.31,42.83 \scriptsize $\pm$ 1.81,30.40 \scriptsize $\pm$ 3.67,38.09 \scriptsize $\pm$ 1.20,95.94 \scriptsize $\pm$ 0.04,64.02 \scriptsize $\pm$ 0.33,abla_most_family_unseen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[64.34665544709547, 63.58144408289522, 63.99607689917979, 64.16439893551636]",0.00033265009249294243,0.017555402945414408,0.0013413812638990248
85.35 \scriptsize $\pm$ 0.51,64.37 \scriptsize $\pm$ 0.44,87.09 \scriptsize $\pm$ 0.51,87.61 \scriptsize $\pm$ 0.34,83.65 \scriptsize $\pm$ 1.31,88.23 \scriptsize $\pm$ 0.40,76.85 \scriptsize $\pm$ 0.28,65.09 \scriptsize $\pm$ 0.47,73.59 \scriptsize $\pm$ 0.90,76.62 \scriptsize $\pm$ 0.26,84.22 \scriptsize $\pm$ 0.56,78.57 \scriptsize $\pm$ 0.76,70.65 \scriptsize $\pm$ 1.80,81.84 \scriptsize $\pm$ 0.54,83.55 \scriptsize $\pm$ 0.21,88.21 \scriptsize $\pm$ 0.46,51.02 \scriptsize $\pm$ 2.06,74.15 \scriptsize $\pm$ 0.58,62.74 \scriptsize $\pm$ 0.36,74.48 \scriptsize $\pm$ 0.85,70.74 \scriptsize $\pm$ 2.23,89.29 \scriptsize $\pm$ 0.17,82.13 \scriptsize $\pm$ 0.68,89.02 \scriptsize $\pm$ 0.34,76.77 \scriptsize $\pm$ 0.91,88.56 \scriptsize $\pm$ 0.26,68.88 \scriptsize $\pm$ 2.51,77.88 \scriptsize $\pm$ 0.42,47.03 \scriptsize $\pm$ 1.05,56.92 \scriptsize $\pm$ 1.32,69.25 \scriptsize $\pm$ 1.04,84.27 \scriptsize $\pm$ 0.51,64.24 \scriptsize $\pm$ 2.69,61.25 \scriptsize $\pm$ 0.82,69.42 \scriptsize $\pm$ 0.86,50.34 \scriptsize $\pm$ 1.39,41.15 \scriptsize $\pm$ 0.60,35.71 \scriptsize $\pm$ 1.21,40.01 \scriptsize $\pm$ 1.25,41.82 \scriptsize $\pm$ 2.30,39.76 \scriptsize $\pm$ 1.35,45.70 \scriptsize $\pm$ 2.71,44.98 \scriptsize $\pm$ 0.27,47.05 \scriptsize $\pm$ 0.97,43.27 \scriptsize $\pm$ 0.94,48.26 \scriptsize $\pm$ 1.42,50.30 \scriptsize $\pm$ 0.58,35.08 \scriptsize $\pm$ 0.50,37.71 \scriptsize $\pm$ 0.78,49.60 \scriptsize $\pm$ 0.41,47.33 \scriptsize $\pm$ 1.42,39.01 \scriptsize $\pm$ 1.83,45.57 \scriptsize $\pm$ 1.18,95.93 \scriptsize $\pm$ 0.06,65.04 \scriptsize $\pm$ 0.47,abla_most_family_unseen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[64.82820385336944, 64.70897191367256, 65.74238821691588, 64.87611071503554]",0.002320048064064448,0.953367538966118,0.04985385622524077
86.69 \scriptsize $\pm$ 0.40,66.51 \scriptsize $\pm$ 0.80,87.89 \scriptsize $\pm$ 0.56,87.65 \scriptsize $\pm$ 0.31,83.95 \scriptsize $\pm$ 0.77,88.69 \scriptsize $\pm$ 0.44,79.88 \scriptsize $\pm$ 0.82,67.79 \scriptsize $\pm$ 0.71,72.80 \scriptsize $\pm$ 0.22,79.55 \scriptsize $\pm$ 1.00,85.51 \scriptsize $\pm$ 0.32,80.74 \scriptsize $\pm$ 0.48,70.70 \scriptsize $\pm$ 1.14,82.45 \scriptsize $\pm$ 0.57,84.73 \scriptsize $\pm$ 0.08,89.63 \scriptsize $\pm$ 0.23,51.07 \scriptsize $\pm$ 0.85,76.91 \scriptsize $\pm$ 0.60,63.35 \scriptsize $\pm$ 0.39,79.42 \scriptsize $\pm$ 0.62,75.59 \scriptsize $\pm$ 0.64,89.83 \scriptsize $\pm$ 0.09,83.34 \scriptsize $\pm$ 0.34,89.73 \scriptsize $\pm$ 0.27,79.41 \scriptsize $\pm$ 0.39,88.86 \scriptsize $\pm$ 0.28,70.43 \scriptsize $\pm$ 1.94,78.88 \scriptsize $\pm$ 1.24,51.04 \scriptsize $\pm$ 0.70,61.25 \scriptsize $\pm$ 0.59,73.47 \scriptsize $\pm$ 0.66,85.37 \scriptsize $\pm$ 0.44,65.89 \scriptsize $\pm$ 1.12,62.10 \scriptsize $\pm$ 0.15,69.32 \scriptsize $\pm$ 1.34,34.58 \scriptsize $\pm$ 1.28,38.27 \scriptsize $\pm$ 1.60,24.12 \scriptsize $\pm$ 2.37,36.22 \scriptsize $\pm$ 0.35,42.64 \scriptsize $\pm$ 2.66,37.45 \scriptsize $\pm$ 1.04,40.41 \scriptsize $\pm$ 0.69,31.99 \scriptsize $\pm$ 1.22,34.35 \scriptsize $\pm$ 0.14,39.94 \scriptsize $\pm$ 1.20,39.79 \scriptsize $\pm$ 0.90,49.57 \scriptsize $\pm$ 0.77,34.69 \scriptsize $\pm$ 1.31,27.73 \scriptsize $\pm$ 0.98,32.20 \scriptsize $\pm$ 0.71,43.96 \scriptsize $\pm$ 0.35,39.13 \scriptsize $\pm$ 1.62,38.16 \scriptsize $\pm$ 0.23,95.94 \scriptsize $\pm$ 0.02,63.92 \scriptsize $\pm$ 0.28,abla_most_script_joshi2,xtreme_r.udpos,"[42, 66, 17, 23]","[63.87579630758214, 63.54511503515265, 64.17063286808636, 64.07809752920251]",5.925190981216772e-06,0.015890237553507946,0.0014583707390110278
87.16 \scriptsize $\pm$ 0.52,65.37 \scriptsize $\pm$ 0.94,88.82 \scriptsize $\pm$ 0.59,88.05 \scriptsize $\pm$ 0.53,85.19 \scriptsize $\pm$ 0.49,88.11 \scriptsize $\pm$ 0.18,82.27 \scriptsize $\pm$ 0.14,71.46 \scriptsize $\pm$ 0.79,73.37 \scriptsize $\pm$ 0.74,81.12 \scriptsize $\pm$ 0.24,84.85 \scriptsize $\pm$ 0.21,80.47 \scriptsize $\pm$ 0.54,70.78 \scriptsize $\pm$ 2.10,82.31 \scriptsize $\pm$ 0.23,84.73 \scriptsize $\pm$ 0.23,88.95 \scriptsize $\pm$ 0.32,50.76 \scriptsize $\pm$ 1.62,79.60 \scriptsize $\pm$ 0.60,63.69 \scriptsize $\pm$ 0.11,80.46 \scriptsize $\pm$ 0.31,76.54 \scriptsize $\pm$ 0.97,89.83 \scriptsize $\pm$ 0.24,83.77 \scriptsize $\pm$ 0.69,89.28 \scriptsize $\pm$ 0.17,80.43 \scriptsize $\pm$ 0.45,88.67 \scriptsize $\pm$ 0.26,73.25 \scriptsize $\pm$ 1.57,79.37 \scriptsize $\pm$ 0.90,61.29 \scriptsize $\pm$ 0.74,61.67 \scriptsize $\pm$ 0.76,75.01 \scriptsize $\pm$ 0.38,85.75 \scriptsize $\pm$ 0.10,64.80 \scriptsize $\pm$ 1.33,62.25 \scriptsize $\pm$ 0.47,69.54 \scriptsize $\pm$ 0.81,24.99 \scriptsize $\pm$ 2.43,32.16 \scriptsize $\pm$ 2.15,21.17 \scriptsize $\pm$ 1.09,30.91 \scriptsize $\pm$ 3.78,27.90 \scriptsize $\pm$ 3.94,25.27 \scriptsize $\pm$ 2.80,25.16 \scriptsize $\pm$ 2.88,26.94 \scriptsize $\pm$ 3.71,29.39 \scriptsize $\pm$ 1.71,23.48 \scriptsize $\pm$ 3.66,26.53 \scriptsize $\pm$ 4.31,52.96 \scriptsize $\pm$ 0.88,24.56 \scriptsize $\pm$ 4.36,24.34 \scriptsize $\pm$ 2.93,24.87 \scriptsize $\pm$ 3.92,34.16 \scriptsize $\pm$ 3.05,34.25 \scriptsize $\pm$ 1.55,29.27 \scriptsize $\pm$ 3.48,96.01 \scriptsize $\pm$ 0.04,61.73 \scriptsize $\pm$ 1.00,abla_most_script_joshi3,xtreme_r.udpos,"[42, 66, 17, 23]","[60.57201497044179, 61.336013399068015, 62.88422716738342, 62.11858183234458]",0.0010827256898453892,0.009341184843150153,0.004948829352310769
88.14 \scriptsize $\pm$ 0.32,64.15 \scriptsize $\pm$ 0.63,88.80 \scriptsize $\pm$ 0.26,88.56 \scriptsize $\pm$ 0.27,85.42 \scriptsize $\pm$ 0.50,88.65 \scriptsize $\pm$ 0.34,82.90 \scriptsize $\pm$ 0.23,72.11 \scriptsize $\pm$ 0.47,73.28 \scriptsize $\pm$ 0.16,81.32 \scriptsize $\pm$ 0.42,85.42 \scriptsize $\pm$ 0.29,79.52 \scriptsize $\pm$ 0.98,69.90 \scriptsize $\pm$ 1.94,82.09 \scriptsize $\pm$ 0.47,84.91 \scriptsize $\pm$ 0.25,89.44 \scriptsize $\pm$ 0.26,52.57 \scriptsize $\pm$ 1.54,79.20 \scriptsize $\pm$ 0.50,63.28 \scriptsize $\pm$ 0.42,80.91 \scriptsize $\pm$ 0.34,76.18 \scriptsize $\pm$ 1.61,89.99 \scriptsize $\pm$ 0.14,84.06 \scriptsize $\pm$ 0.14,89.45 \scriptsize $\pm$ 0.23,80.45 \scriptsize $\pm$ 0.38,89.07 \scriptsize $\pm$ 0.26,71.78 \scriptsize $\pm$ 1.03,79.68 \scriptsize $\pm$ 1.28,59.49 \scriptsize $\pm$ 1.22,62.49 \scriptsize $\pm$ 0.43,75.00 \scriptsize $\pm$ 0.56,85.52 \scriptsize $\pm$ 0.41,64.16 \scriptsize $\pm$ 1.77,62.59 \scriptsize $\pm$ 0.55,69.53 \scriptsize $\pm$ 0.29,28.25 \scriptsize $\pm$ 1.06,33.01 \scriptsize $\pm$ 1.82,22.92 \scriptsize $\pm$ 2.60,33.40 \scriptsize $\pm$ 2.24,30.63 \scriptsize $\pm$ 2.41,26.60 \scriptsize $\pm$ 2.34,28.93 \scriptsize $\pm$ 3.94,29.06 \scriptsize $\pm$ 1.33,33.56 \scriptsize $\pm$ 2.10,27.41 \scriptsize $\pm$ 4.54,29.40 \scriptsize $\pm$ 3.98,53.92 \scriptsize $\pm$ 1.02,25.09 \scriptsize $\pm$ 3.51,26.06 \scriptsize $\pm$ 0.63,26.92 \scriptsize $\pm$ 1.85,34.99 \scriptsize $\pm$ 3.40,35.02 \scriptsize $\pm$ 3.31,31.38 \scriptsize $\pm$ 2.21,96.01 \scriptsize $\pm$ 0.03,62.46 \scriptsize $\pm$ 0.57,abla_most_script_joshi35,xtreme_r.udpos,"[42, 66, 17, 23]","[63.24843448867391, 62.00386503470059, 62.074455652210005, 62.49447280565246]",0.0008317884168790957,0.0033585559808255736,0.0008769939764365791
