final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_avg_accuracy,exp,task,seeds,list_final_avg,p_val_12_langs,p_val_34_langs
65.07 \scriptsize $\pm$ 0.63,42.93 \scriptsize $\pm$ 1.55,60.73 \scriptsize $\pm$ 0.35,41.10 \scriptsize $\pm$ 0.83,44.10 \scriptsize $\pm$ 2.00,35.00 \scriptsize $\pm$ 1.68,42.97 \scriptsize $\pm$ 1.24,53.50 \scriptsize $\pm$ 1.94,44.07 \scriptsize $\pm$ 1.04,40.97 \scriptsize $\pm$ 0.79,64.83 \scriptsize $\pm$ 0.82,39.27 \scriptsize $\pm$ 1.64,41.90 \scriptsize $\pm$ 1.60,51.90 \scriptsize $\pm$ 1.55,44.10 \scriptsize $\pm$ 1.91,48.37 \scriptsize $\pm$ 0.83,47.55 \scriptsize $\pm$ 0.55,afri_only,afri-xnli,"[31, 42, 66, 17, 23]","[47.88541666666668, 47.354166666666664, 48.239583333333336, 46.802083333333336, 47.46875]",-1,-1
65.67 \scriptsize $\pm$ 0.59,38.83 \scriptsize $\pm$ 1.28,60.53 \scriptsize $\pm$ 1.24,39.77 \scriptsize $\pm$ 0.76,41.63 \scriptsize $\pm$ 1.19,33.43 \scriptsize $\pm$ 1.43,40.80 \scriptsize $\pm$ 0.84,53.10 \scriptsize $\pm$ 1.13,42.00 \scriptsize $\pm$ 1.25,39.70 \scriptsize $\pm$ 0.65,64.17 \scriptsize $\pm$ 0.67,38.90 \scriptsize $\pm$ 0.82,41.60 \scriptsize $\pm$ 1.25,52.07 \scriptsize $\pm$ 1.48,43.37 \scriptsize $\pm$ 1.28,49.27 \scriptsize $\pm$ 0.84,46.55 \scriptsize $\pm$ 0.35,least_family_en_10,afri-xnli,"[17, 23, 31, 42, 66]","[46.05208333333333, 46.41666666666666, 46.666666666666664, 46.60416666666666, 47.02083333333333]",-1,-1
66.90 \scriptsize $\pm$ 0.87,37.77 \scriptsize $\pm$ 0.53,59.17 \scriptsize $\pm$ 0.53,38.63 \scriptsize $\pm$ 0.84,38.73 \scriptsize $\pm$ 1.58,35.17 \scriptsize $\pm$ 1.44,40.73 \scriptsize $\pm$ 1.53,47.73 \scriptsize $\pm$ 1.60,40.47 \scriptsize $\pm$ 0.66,39.00 \scriptsize $\pm$ 0.66,64.83 \scriptsize $\pm$ 0.31,38.30 \scriptsize $\pm$ 1.20,40.47 \scriptsize $\pm$ 0.66,48.30 \scriptsize $\pm$ 0.81,38.00 \scriptsize $\pm$ 1.26,45.93 \scriptsize $\pm$ 0.93,45.01 \scriptsize $\pm$ 0.26,least_family_en_20,afri-xnli,"[17, 23, 31, 42, 66]","[45.229166666666664, 45.27083333333333, 44.79166666666666, 44.68749999999999, 45.06249999999999]",-1,-1
67.60 \scriptsize $\pm$ 0.96,37.40 \scriptsize $\pm$ 1.27,59.50 \scriptsize $\pm$ 0.39,38.73 \scriptsize $\pm$ 0.63,39.03 \scriptsize $\pm$ 1.59,34.67 \scriptsize $\pm$ 0.39,40.17 \scriptsize $\pm$ 0.87,45.37 \scriptsize $\pm$ 1.06,40.60 \scriptsize $\pm$ 1.44,39.03 \scriptsize $\pm$ 1.53,64.07 \scriptsize $\pm$ 0.43,39.50 \scriptsize $\pm$ 0.67,39.13 \scriptsize $\pm$ 2.03,47.90 \scriptsize $\pm$ 0.91,37.43 \scriptsize $\pm$ 1.13,45.57 \scriptsize $\pm$ 0.73,44.73 \scriptsize $\pm$ 0.52,least_family_en_5,afri-xnli,"[17, 23, 31, 42, 66]","[44.03125000000001, 44.364583333333336, 44.98958333333333, 45.29166666666665, 44.979166666666664]",-1,-1
67.60 \scriptsize $\pm$ 1.04,37.43 \scriptsize $\pm$ 1.02,59.43 \scriptsize $\pm$ 0.89,38.67 \scriptsize $\pm$ 1.29,38.87 \scriptsize $\pm$ 2.06,35.70 \scriptsize $\pm$ 0.07,39.50 \scriptsize $\pm$ 0.87,46.97 \scriptsize $\pm$ 0.97,39.63 \scriptsize $\pm$ 1.45,38.13 \scriptsize $\pm$ 1.13,64.23 \scriptsize $\pm$ 0.68,39.47 \scriptsize $\pm$ 0.63,41.13 \scriptsize $\pm$ 1.28,47.53 \scriptsize $\pm$ 1.54,37.17 \scriptsize $\pm$ 0.66,45.63 \scriptsize $\pm$ 0.69,44.82 \scriptsize $\pm$ 0.40,least_same_script_10,afri-xnli,"[31, 42, 66, 17, 23]","[45.20833333333333, 44.59374999999999, 44.96875, 44.22916666666666, 45.09374999999999]",-1,-1
66.67 \scriptsize $\pm$ 0.85,45.93 \scriptsize $\pm$ 1.06,59.10 \scriptsize $\pm$ 0.65,38.83 \scriptsize $\pm$ 0.31,41.27 \scriptsize $\pm$ 1.34,34.70 \scriptsize $\pm$ 1.48,42.27 \scriptsize $\pm$ 0.83,54.43 \scriptsize $\pm$ 0.74,43.13 \scriptsize $\pm$ 1.21,37.70 \scriptsize $\pm$ 0.81,63.57 \scriptsize $\pm$ 1.06,38.90 \scriptsize $\pm$ 0.55,42.30 \scriptsize $\pm$ 1.22,51.50 \scriptsize $\pm$ 0.82,44.83 \scriptsize $\pm$ 0.76,49.57 \scriptsize $\pm$ 0.86,47.17 \scriptsize $\pm$ 0.34,least_same_script_20,afri-xnli,"[31, 42, 66, 17, 23]","[47.35416666666666, 46.63541666666667, 47.39583333333333, 47.03124999999999, 47.42708333333332]",-1,-1
67.30 \scriptsize $\pm$ 0.36,38.37 \scriptsize $\pm$ 1.39,59.20 \scriptsize $\pm$ 0.51,39.30 \scriptsize $\pm$ 1.81,38.30 \scriptsize $\pm$ 0.49,34.13 \scriptsize $\pm$ 1.09,40.83 \scriptsize $\pm$ 1.16,46.20 \scriptsize $\pm$ 1.00,40.10 \scriptsize $\pm$ 1.64,38.17 \scriptsize $\pm$ 0.31,64.13 \scriptsize $\pm$ 1.07,40.27 \scriptsize $\pm$ 1.63,40.07 \scriptsize $\pm$ 0.89,48.83 \scriptsize $\pm$ 1.56,38.27 \scriptsize $\pm$ 1.85,46.03 \scriptsize $\pm$ 0.43,44.97 \scriptsize $\pm$ 0.54,least_same_script_5,afri-xnli,"[31, 42, 66, 17, 23]","[45.645833333333336, 45.33333333333333, 44.34374999999999, 44.96875, 44.55208333333333]",-1,-1
66.83 \scriptsize $\pm$ nan,36.83 \scriptsize $\pm$ nan,59.83 \scriptsize $\pm$ nan,39.00 \scriptsize $\pm$ nan,41.17 \scriptsize $\pm$ nan,34.83 \scriptsize $\pm$ nan,41.50 \scriptsize $\pm$ nan,47.50 \scriptsize $\pm$ nan,36.83 \scriptsize $\pm$ nan,39.33 \scriptsize $\pm$ nan,62.33 \scriptsize $\pm$ nan,37.33 \scriptsize $\pm$ nan,40.33 \scriptsize $\pm$ nan,48.50 \scriptsize $\pm$ nan,36.00 \scriptsize $\pm$ nan,46.83 \scriptsize $\pm$ nan,44.69 \scriptsize $\pm$ nan,least_uriel_10-seed_31,afri-xnli,[31],[44.6875],-1,-1
66.83 \scriptsize $\pm$ nan,41.17 \scriptsize $\pm$ nan,55.00 \scriptsize $\pm$ nan,40.00 \scriptsize $\pm$ nan,38.67 \scriptsize $\pm$ nan,32.83 \scriptsize $\pm$ nan,40.83 \scriptsize $\pm$ nan,46.50 \scriptsize $\pm$ nan,40.17 \scriptsize $\pm$ nan,40.83 \scriptsize $\pm$ nan,64.17 \scriptsize $\pm$ nan,42.33 \scriptsize $\pm$ nan,40.67 \scriptsize $\pm$ nan,43.33 \scriptsize $\pm$ nan,39.33 \scriptsize $\pm$ nan,46.67 \scriptsize $\pm$ nan,44.96 \scriptsize $\pm$ nan,least_uriel_5-seed_31,afri-xnli,[31],[44.95833333333333],-1,-1
42.93 \scriptsize $\pm$ 14.13,54.50 \scriptsize $\pm$ 10.08,43.10 \scriptsize $\pm$ 9.30,35.83 \scriptsize $\pm$ 2.28,39.07 \scriptsize $\pm$ 0.84,44.03 \scriptsize $\pm$ 4.78,38.60 \scriptsize $\pm$ 1.04,39.07 \scriptsize $\pm$ 4.32,58.93 \scriptsize $\pm$ 11.57,37.80 \scriptsize $\pm$ 0.49,44.73 \scriptsize $\pm$ 10.80,45.07 \scriptsize $\pm$ 4.95,37.83 \scriptsize $\pm$ 1.82,46.00 \scriptsize $\pm$ 1.39,54.38 \scriptsize $\pm$ 9.72,76.46 \scriptsize $\pm$ 15.82,46.15 \scriptsize $\pm$ 0.90,least_uriel_en_10,afri-xnli,"[17, 23, 31, 42, 66]","[46.86942521207584, 46.05318074787923, 44.64583333333333, 46.37746967003493, 46.785290746631745]",-1,-1
