final_eval_aym_accuracy,final_eval_bzd_accuracy,final_eval_cni_accuracy,final_eval_gn_accuracy,final_eval_hch_accuracy,final_eval_nah_accuracy,final_eval_oto_accuracy,final_eval_quy_accuracy,final_eval_shp_accuracy,final_eval_tar_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
37.40 \scriptsize $\pm$ 0.74,40.20 \scriptsize $\pm$ 1.38,40.10 \scriptsize $\pm$ 0.79,38.37 \scriptsize $\pm$ 0.82,36.93 \scriptsize $\pm$ 0.66,42.31 \scriptsize $\pm$ 1.24,46.39 \scriptsize $\pm$ 1.47,37.77 \scriptsize $\pm$ 1.07,42.60 \scriptsize $\pm$ 0.47,37.60 \scriptsize $\pm$ 1.12,39.97 \scriptsize $\pm$ 0.59,abla_most_family_joshi2,americasnli,"[42, 66, 17, 23]","[39.92164050838369, 39.2913922583076, 40.735472950451424, 39.91842992333666]",0.3427007985212238,0.9141559423210954,0.4771673995262392
38.07 \scriptsize $\pm$ 1.84,39.37 \scriptsize $\pm$ 1.43,41.43 \scriptsize $\pm$ 0.68,41.27 \scriptsize $\pm$ 0.93,39.40 \scriptsize $\pm$ 0.59,43.60 \scriptsize $\pm$ 1.09,39.57 \scriptsize $\pm$ 0.91,37.57 \scriptsize $\pm$ 0.93,42.97 \scriptsize $\pm$ 0.57,35.97 \scriptsize $\pm$ 1.36,39.92 \scriptsize $\pm$ 0.83,abla_most_family_joshi3,americasnli,"[42, 66, 17, 23]","[39.07830471138935, 39.37243395214701, 40.80245380635625, 40.42804225903221]",0.3571122954724699,0.8738507628555163,0.5502174563737933
36.90 \scriptsize $\pm$ 1.26,39.80 \scriptsize $\pm$ 0.40,40.23 \scriptsize $\pm$ 0.89,40.20 \scriptsize $\pm$ 1.04,36.97 \scriptsize $\pm$ 0.67,41.97 \scriptsize $\pm$ 1.37,39.07 \scriptsize $\pm$ 0.88,37.53 \scriptsize $\pm$ 0.96,41.83 \scriptsize $\pm$ 1.38,36.17 \scriptsize $\pm$ 1.70,39.07 \scriptsize $\pm$ 0.58,abla_most_family_joshi35,americasnli,"[42, 66, 17, 23]","[38.42331116038433, 39.18703244786458, 39.79769285393388, 38.862257003318696]",0.06832308523786193,0.0316855514121443,0.07800110714294103
36.73 \scriptsize $\pm$ 0.59,44.43 \scriptsize $\pm$ 1.73,39.57 \scriptsize $\pm$ 0.35,40.93 \scriptsize $\pm$ 0.54,36.83 \scriptsize $\pm$ 0.58,43.12 \scriptsize $\pm$ 0.46,39.51 \scriptsize $\pm$ 0.59,38.27 \scriptsize $\pm$ 0.19,43.07 \scriptsize $\pm$ 0.88,37.73 \scriptsize $\pm$ 0.84,40.02 \scriptsize $\pm$ 0.42,abla_most_family_seen_mbert,americasnli,"[42, 66, 17, 23]","[40.38587423735199, 39.41174789501905, 40.173550715186295, 40.106955349767404]",0.2891800395452442,0.9738617620959051,0.453508928575641
37.40 \scriptsize $\pm$ 0.49,40.43 \scriptsize $\pm$ 1.37,40.63 \scriptsize $\pm$ 0.79,39.27 \scriptsize $\pm$ 0.93,37.20 \scriptsize $\pm$ 0.76,41.63 \scriptsize $\pm$ 0.26,48.63 \scriptsize $\pm$ 1.06,39.07 \scriptsize $\pm$ 0.47,43.60 \scriptsize $\pm$ 0.61,37.07 \scriptsize $\pm$ 0.36,40.49 \scriptsize $\pm$ 0.35,abla_most_family_seen_xlmr,americasnli,"[42, 66, 17, 23]","[40.746522614958764, 39.99924698926134, 40.493162326275666, 40.732722925090215]",0.6464512226586547,0.30420883670857374,0.8764259543737272
37.57 \scriptsize $\pm$ 0.53,40.70 \scriptsize $\pm$ 0.20,41.47 \scriptsize $\pm$ 1.64,39.77 \scriptsize $\pm$ 0.93,38.17 \scriptsize $\pm$ 1.68,42.92 \scriptsize $\pm$ 0.82,47.23 \scriptsize $\pm$ 0.58,40.03 \scriptsize $\pm$ 1.06,44.00 \scriptsize $\pm$ 0.85,38.43 \scriptsize $\pm$ 1.10,41.03 \scriptsize $\pm$ 0.19,abla_most_family_unseen_mbert,americasnli,"[42, 66, 17, 23]","[41.279938843238696, 40.88087445473384, 40.881346608118484, 41.069569439009896]",0.5647399787196663,0.05333827247438787,0.18156142483957302
38.47 \scriptsize $\pm$ 0.66,40.80 \scriptsize $\pm$ 1.25,40.63 \scriptsize $\pm$ 1.17,40.83 \scriptsize $\pm$ 0.99,38.10 \scriptsize $\pm$ 1.21,42.99 \scriptsize $\pm$ 1.14,40.04 \scriptsize $\pm$ 1.12,40.03 \scriptsize $\pm$ 1.15,43.33 \scriptsize $\pm$ 0.57,38.63 \scriptsize $\pm$ 1.28,40.39 \scriptsize $\pm$ 0.87,abla_most_family_unseen_xlmr,americasnli,"[42, 66, 17, 23]","[41.44169644798052, 39.37034013013926, 40.62709795226294, 40.105363534918766]",0.646931636930067,0.5038969091526003,0.9602135303939998
36.80 \scriptsize $\pm$ 0.54,42.03 \scriptsize $\pm$ 1.08,41.70 \scriptsize $\pm$ 0.57,40.83 \scriptsize $\pm$ 1.02,38.27 \scriptsize $\pm$ 1.65,42.51 \scriptsize $\pm$ 0.65,47.79 \scriptsize $\pm$ 1.33,39.17 \scriptsize $\pm$ 0.48,43.17 \scriptsize $\pm$ 0.30,38.47 \scriptsize $\pm$ 1.57,41.07 \scriptsize $\pm$ 0.42,abla_most_script_joshi2,americasnli,"[42, 66, 17, 23]","[40.70675101082561, 41.26894598785559, 41.57308522817849, 40.747618219497696]",0.5884469484236571,0.006511643247643653,0.1978192684456006
36.90 \scriptsize $\pm$ 0.48,39.60 \scriptsize $\pm$ 0.98,39.97 \scriptsize $\pm$ 0.65,40.27 \scriptsize $\pm$ 0.71,37.67 \scriptsize $\pm$ 0.87,42.62 \scriptsize $\pm$ 0.41,38.74 \scriptsize $\pm$ 0.74,38.10 \scriptsize $\pm$ 0.69,43.07 \scriptsize $\pm$ 1.30,37.57 \scriptsize $\pm$ 1.53,39.45 \scriptsize $\pm$ 0.46,abla_most_script_joshi3,americasnli,"[42, 66, 17, 23]","[39.57232700027535, 38.851424140979375, 39.412255699027575, 39.95804936017275]",0.10125930877553256,0.31762610984696993,0.17490602829438853
38.03 \scriptsize $\pm$ 1.44,39.80 \scriptsize $\pm$ 0.82,40.47 \scriptsize $\pm$ 1.50,41.00 \scriptsize $\pm$ 1.06,36.60 \scriptsize $\pm$ 0.62,43.19 \scriptsize $\pm$ 1.00,38.67 \scriptsize $\pm$ 1.62,37.00 \scriptsize $\pm$ 0.49,43.10 \scriptsize $\pm$ 0.66,37.37 \scriptsize $\pm$ 1.02,39.52 \scriptsize $\pm$ 0.62,abla_most_script_joshi35,americasnli,"[42, 66, 17, 23]","[40.16130718954249, 38.69150123907656, 39.7598608756141, 39.478334565163834]",0.15522549212342684,0.33595516490250843,0.16691976936060274
