final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
33.20 \scriptsize $\pm$ 6.43,74.46 \scriptsize $\pm$ 5.41,53.83 \scriptsize $\pm$ 5.10,abla_most_family_joshi2,masakha_unseen_ner,"[42, 66, 17, 23]","[59.03077410872788, 47.05828083527665, 53.24070854710071, 55.99208113335451]",0.005120137634949888,0.002240435733605674,0.0172352277176869
29.60 \scriptsize $\pm$ 4.78,72.59 \scriptsize $\pm$ 3.04,51.09 \scriptsize $\pm$ 2.36,abla_most_family_joshi3,masakha_unseen_ner,"[42, 66, 17, 23]","[51.271030054893195, 53.52325210477534, 51.71287767384197, 47.87205965555175]",0.004332302284684279,5.903863093060232e-05,0.003441305183261992
59.07 \scriptsize $\pm$ 8.62,77.13 \scriptsize $\pm$ 4.98,68.10 \scriptsize $\pm$ 4.82,abla_most_family_joshi35,masakha_unseen_ner,"[42, 66, 17, 23]","[72.05477493186, 71.83043106867572, 66.54011538969392, 61.96130302044254]",0.1521435216381236,0.0055526629340097835,0.5619877686213826
68.05 \scriptsize $\pm$ 9.56,76.30 \scriptsize $\pm$ 3.44,72.18 \scriptsize $\pm$ 5.16,abla_most_family_seen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[76.55629405523455, 76.11649818021044, 70.31892605476455, 65.70973666371253]",0.3904290570131574,0.017972729453726556,0.09660244817459798
62.25 \scriptsize $\pm$ 9.22,76.52 \scriptsize $\pm$ 3.65,69.39 \scriptsize $\pm$ 5.88,abla_most_family_seen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[73.16032230926999, 75.31049836843914, 66.45060681968289, 62.632237378539486]",0.23446564265430267,0.012831160954458775,0.42475284152773357
70.06 \scriptsize $\pm$ 4.37,72.46 \scriptsize $\pm$ 4.36,71.26 \scriptsize $\pm$ 3.96,abla_most_family_unseen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[71.52883320061866, 69.62172825326022, 67.28927372621618, 76.60823809301405]",0.06136846028085904,0.014131511803136472,0.30342215612858925
72.11 \scriptsize $\pm$ 10.16,66.75 \scriptsize $\pm$ 1.20,69.43 \scriptsize $\pm$ 5.66,abla_most_family_unseen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[76.28760897867487, 65.0718606892463, 64.51286634039934, 71.84025333223394]",0.13711836236846708,0.021035329447150627,0.46704215344072797
50.03 \scriptsize $\pm$ 3.54,68.95 \scriptsize $\pm$ 4.62,59.49 \scriptsize $\pm$ 2.37,abla_most_script_joshi2,masakha_unseen_ner,"[42, 66, 17, 23]","[60.94321791480928, 55.97407800137782, 60.115217353839114, 60.91722098989453]",0.003485117536733135,0.0008950045332679913,0.04023233429542642
42.75 \scriptsize $\pm$ 16.51,75.69 \scriptsize $\pm$ 7.74,59.22 \scriptsize $\pm$ 11.45,abla_most_script_joshi3,masakha_unseen_ner,"[42, 66, 17, 23]","[43.6841937171725, 57.614282777273885, 68.91548195673008, 66.66944973477246]",0.02360000910855313,0.03289483667341784,0.35543018524037917
49.28 \scriptsize $\pm$ 13.27,80.73 \scriptsize $\pm$ 2.93,65.00 \scriptsize $\pm$ 7.76,abla_most_script_joshi35,masakha_unseen_ner,"[42, 66, 17, 23]","[58.56482786845492, 71.49786163756522, 71.94315958185555, 58.00863772980573]",0.09418073287819678,0.020656416035733496,0.7045542384185082
49.23 \scriptsize $\pm$ 11.66,79.98 \scriptsize $\pm$ 3.18,64.60 \scriptsize $\pm$ 4.41,abla_most_script_joshi45,masakha_unseen_ner,"[42, 66, 17, 23]","[70.46127736163093, 65.35304955136161, 62.20697957475309, 60.39389206885172]",0.06510484031417436,0.0026591432017427415,0.3496388257410939
58.76 \scriptsize $\pm$ 8.17,69.25 \scriptsize $\pm$ 4.04,64.00 \scriptsize $\pm$ 4.37,abla_most_script_seen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[61.072469773695694, 70.08863549771337, 60.58810044261931, 64.26170197171791]",0.030441382277476347,0.001960195939763637,0.5348923782228556
58.76 \scriptsize $\pm$ 8.17,69.25 \scriptsize $\pm$ 4.04,64.00 \scriptsize $\pm$ 4.37,abla_most_script_seen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[61.072469773695694, 70.08863549771337, 60.58810044261931, 64.26170197171791]",0.030441382277476347,0.001960195939763637,0.5348923782228556
60.52 \scriptsize $\pm$ 16.56,68.90 \scriptsize $\pm$ 1.47,64.71 \scriptsize $\pm$ 8.57,abla_most_uriel_joshi2,masakha_unseen_ner,"[42, 66, 17, 23]","[75.27237533261155, 58.922376521053394, 67.97712720357458, 56.6586195379966]",0.1297463934631892,0.027821288034009295,0.4790578017389727
37.64 \scriptsize $\pm$ 18.32,71.79 \scriptsize $\pm$ 9.49,54.72 \scriptsize $\pm$ 13.35,abla_most_uriel_joshi3,masakha_unseen_ner,"[42, 66, 17, 23]","[54.941109984173536, 68.91691913848153, 36.80331713656888, 58.20044022960825]",0.05933760148136848,0.020938371097335196,0.2350878241863494
