final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
29.76 \scriptsize $\pm$ 1.01,55.79 \scriptsize $\pm$ 0.31,42.78 \scriptsize $\pm$ 0.59,abla_most_family_joshi2,masakha_unseen_pos,"[42, 66, 17, 23]","[42.772996617957816, 42.80150076015367, 42.049860457742156, 43.48296918191081]",0.05910876443828331,0.14021760218304183,0.07579938406921136
27.52 \scriptsize $\pm$ 1.36,56.22 \scriptsize $\pm$ 0.38,41.87 \scriptsize $\pm$ 0.56,abla_most_family_joshi3,masakha_unseen_pos,"[42, 66, 17, 23]","[42.056510848151405, 41.95165575925826, 41.07464353547342, 42.39459264425197]",0.017230680461073965,0.5184076005723813,0.016226163647907847
28.34 \scriptsize $\pm$ 1.02,55.42 \scriptsize $\pm$ 0.27,41.88 \scriptsize $\pm$ 0.43,abla_most_family_joshi35,masakha_unseen_pos,"[42, 66, 17, 23]","[41.293335160924464, 42.19880867923548, 41.81621391538491, 42.22036249733444]",0.02105354442132502,0.3932931839652729,0.014411393854632675
28.71 \scriptsize $\pm$ 2.30,56.05 \scriptsize $\pm$ 1.09,42.38 \scriptsize $\pm$ 1.50,abla_most_family_seen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[40.8421538801971, 42.58162632298121, 41.72189143181127, 44.35654495057568]",0.05367777143329133,0.24755442778575162,0.05234240768887967
26.26 \scriptsize $\pm$ 1.67,56.66 \scriptsize $\pm$ 0.52,41.46 \scriptsize $\pm$ 1.06,abla_most_family_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[41.937969349412796, 41.33537160538077, 40.044303626278214, 42.52515813526596]",0.013996820279930176,0.8675419708530087,0.01740379647602903
30.39 \scriptsize $\pm$ 0.99,55.61 \scriptsize $\pm$ 0.56,43.00 \scriptsize $\pm$ 0.61,abla_most_family_unseen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[42.760647127418764, 42.28535809144179, 43.27487857402494, 43.6934679008447]",0.10712274082523773,0.026077457231049313,0.37807545556205313
30.53 \scriptsize $\pm$ 1.21,55.56 \scriptsize $\pm$ 0.33,43.05 \scriptsize $\pm$ 0.65,abla_most_family_unseen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[43.05276741648313, 43.823416241389744, 43.06865634057511, 42.23871966323777]",0.4723376977610742,0.1346292253082693,0.4765179294006712
28.10 \scriptsize $\pm$ 1.01,55.54 \scriptsize $\pm$ 0.23,41.82 \scriptsize $\pm$ 0.55,abla_most_script_joshi2,masakha_unseen_pos,"[42, 66, 17, 23]","[41.641126815074095, 42.051497310736224, 41.16377244940641, 42.434752072725416]",0.011342150690377813,0.5199981626996228,0.005583092482691819
26.87 \scriptsize $\pm$ 1.12,56.34 \scriptsize $\pm$ 0.53,41.60 \scriptsize $\pm$ 0.39,abla_most_script_joshi3,masakha_unseen_pos,"[42, 66, 17, 23]","[41.84735769007075, 42.022093367477424, 41.25537824669755, 41.283505401413244]",0.040885510859787436,0.7273557215866376,0.03166760058223005
26.49 \scriptsize $\pm$ 0.64,55.80 \scriptsize $\pm$ 0.15,41.15 \scriptsize $\pm$ 0.32,abla_most_script_joshi35,masakha_unseen_pos,"[42, 66, 17, 23]","[41.46708534192887, 40.83550348978786, 40.92093022103607, 41.36662663998196]",0.008843353214374109,0.8514119877399545,0.017803335490973345
27.97 \scriptsize $\pm$ 1.41,56.83 \scriptsize $\pm$ 1.09,42.40 \scriptsize $\pm$ 0.96,abla_most_script_joshi45,masakha_unseen_pos,"[42, 66, 17, 23]","[43.6143232140724, 42.171950031580536, 41.303885049337616, 42.50779510731173]",0.14478168095820002,0.35856875920244846,0.1835044043526602
23.83 \scriptsize $\pm$ 3.63,55.65 \scriptsize $\pm$ 0.90,39.74 \scriptsize $\pm$ 2.11,abla_most_script_seen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[36.8645406137866, 40.618174348219256, 39.65388430184382, 41.821407485025574]",0.018168632452926384,0.19110895402915257,0.013403671087382897
23.83 \scriptsize $\pm$ 3.63,55.65 \scriptsize $\pm$ 0.90,39.74 \scriptsize $\pm$ 2.11,abla_most_script_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[36.8645406137866, 40.618174348219256, 39.65388430184382, 41.821407485025574]",0.018168632452926384,0.19110895402915257,0.013403671087382897
30.72 \scriptsize $\pm$ 1.68,55.81 \scriptsize $\pm$ 0.23,43.26 \scriptsize $\pm$ 0.90,abla_most_uriel_joshi2,masakha_unseen_pos,"[42, 66, 17, 23]","[42.06212425294187, 43.39270030392608, 43.36687864188989, 44.23374388938221]",0.3216524683158966,0.02712509232621968,0.4536647030122287
26.78 \scriptsize $\pm$ 1.33,56.71 \scriptsize $\pm$ 1.34,41.74 \scriptsize $\pm$ 0.88,abla_most_uriel_joshi3,masakha_unseen_pos,"[42, 66, 17, 23]","[40.77965209247711, 41.84284140166234, 41.465971302517595, 42.888367389141266]",0.004217195366786728,0.48543388028696544,0.004896594904965228
24.07 \scriptsize $\pm$ 0.90,56.16 \scriptsize $\pm$ 0.46,40.11 \scriptsize $\pm$ 0.64,abla_most_uriel_joshi35,masakha_unseen_pos,"[42, 66, 17, 23]","[40.61771166539977, 40.50084986732489, 39.211161655198424, 40.126276619312804]",0.008331939282735562,0.2977916045021671,0.005288022302614679
27.46 \scriptsize $\pm$ 1.61,57.58 \scriptsize $\pm$ 0.53,42.52 \scriptsize $\pm$ 0.69,abla_most_uriel_joshi45,masakha_unseen_pos,"[42, 66, 17, 23]","[43.457498942778756, 42.43848018005066, 41.794206056013294, 42.38761675557906]",0.15969169760585736,0.2782141527952867,0.1952293757295404
26.81 \scriptsize $\pm$ 1.72,56.88 \scriptsize $\pm$ 0.32,41.84 \scriptsize $\pm$ 0.83,abla_most_uriel_seen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[42.6927206086806, 41.95127877177809, 40.709146072012246, 42.019899494777725]",0.05279071464604542,0.6140221320084471,0.051869834771161465
26.20 \scriptsize $\pm$ 1.99,56.50 \scriptsize $\pm$ 0.63,41.35 \scriptsize $\pm$ 1.12,abla_most_uriel_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[40.70477524964204, 40.282406686345006, 41.59202878660555, 42.81797262859176]",0.0026403122175108554,0.8832189636660659,0.03450659486150415
29.25 \scriptsize $\pm$ 0.97,55.72 \scriptsize $\pm$ 0.45,42.48 \scriptsize $\pm$ 0.45,abla_most_uriel_unseen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[42.916905737459956, 41.93454981732202, 42.312311075982905, 42.77567045657065]",0.06455672894011218,0.1698945665226026,0.15259177801145177
