eval_ar_f1,eval_de_f1,eval_el_f1,eval_es_f1,eval_hi_f1,eval_ru_f1,eval_th_f1,eval_tr_f1,eval_vi_f1,eval_zh_f1,eval_ind_f1,eval_same_f1,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
50.35 \scriptsize $\pm$ 1.01,65.82 \scriptsize $\pm$ 0.95,61.28 \scriptsize $\pm$ 1.09,68.22 \scriptsize $\pm$ 0.93,57.79 \scriptsize $\pm$ 2.00,66.27 \scriptsize $\pm$ 0.81,58.31 \scriptsize $\pm$ 1.43,60.53 \scriptsize $\pm$ 0.90,65.75 \scriptsize $\pm$ 0.55,46.81 \scriptsize $\pm$ 1.36,71.66 \scriptsize $\pm$ 1.05,76.34 \scriptsize $\pm$ 0.51,62.43 \scriptsize $\pm$ 0.73,abla_most_family_joshi2,xquad,"[42, 66, 17, 23]","[62.19713185116468, 61.5561286456979, 63.29199733476735, 62.66809570748373]",0.8503849519796666,0.16634031250344317,0.1730968933726643
52.53 \scriptsize $\pm$ 0.68,66.53 \scriptsize $\pm$ 1.46,63.02 \scriptsize $\pm$ 1.06,69.17 \scriptsize $\pm$ 0.20,59.94 \scriptsize $\pm$ 1.39,66.92 \scriptsize $\pm$ 0.32,60.02 \scriptsize $\pm$ 1.44,62.11 \scriptsize $\pm$ 0.82,67.48 \scriptsize $\pm$ 1.09,48.10 \scriptsize $\pm$ 0.37,73.55 \scriptsize $\pm$ 1.36,76.89 \scriptsize $\pm$ 0.50,63.85 \scriptsize $\pm$ 0.65,abla_most_family_joshi3,xquad,"[42, 66, 17, 23]","[64.42909830266989, 63.004021055862985, 63.7014972360384, 64.28107786084358]",0.1459993187848725,0.45719213371275963,0.36605749855537256
51.33 \scriptsize $\pm$ 0.59,67.07 \scriptsize $\pm$ 0.98,62.54 \scriptsize $\pm$ 1.14,68.62 \scriptsize $\pm$ 1.12,59.16 \scriptsize $\pm$ 1.01,66.39 \scriptsize $\pm$ 0.72,59.43 \scriptsize $\pm$ 1.62,61.59 \scriptsize $\pm$ 0.61,66.74 \scriptsize $\pm$ 0.82,48.11 \scriptsize $\pm$ 0.76,73.46 \scriptsize $\pm$ 1.01,76.86 \scriptsize $\pm$ 0.64,63.44 \scriptsize $\pm$ 0.77,abla_most_family_joshi35,xquad,"[42, 66, 17, 23]","[63.82692037285912, 62.645626422582076, 64.33088606973106, 62.964143699910885]",0.19785970535385936,0.9089269382454379,0.6906777516468658
50.62 \scriptsize $\pm$ 1.05,67.41 \scriptsize $\pm$ 1.80,62.76 \scriptsize $\pm$ 1.44,69.19 \scriptsize $\pm$ 1.12,59.57 \scriptsize $\pm$ 1.77,66.79 \scriptsize $\pm$ 0.52,59.33 \scriptsize $\pm$ 1.96,61.33 \scriptsize $\pm$ 0.93,66.27 \scriptsize $\pm$ 1.01,47.68 \scriptsize $\pm$ 0.98,73.22 \scriptsize $\pm$ 1.07,77.30 \scriptsize $\pm$ 0.66,63.46 \scriptsize $\pm$ 1.10,abla_most_family_seen_mbert,xquad,"[42, 66, 17, 23]","[64.7659467338005, 62.1593542370365, 63.78568980118552, 63.112160190125984]",0.32826403759466083,0.9279461550686428,0.7762112811317822
50.21 \scriptsize $\pm$ 0.70,65.50 \scriptsize $\pm$ 1.05,60.93 \scriptsize $\pm$ 1.69,68.40 \scriptsize $\pm$ 0.62,58.25 \scriptsize $\pm$ 1.88,65.40 \scriptsize $\pm$ 0.94,58.13 \scriptsize $\pm$ 1.13,60.95 \scriptsize $\pm$ 1.82,64.91 \scriptsize $\pm$ 1.10,47.60 \scriptsize $\pm$ 0.51,73.14 \scriptsize $\pm$ 1.97,76.50 \scriptsize $\pm$ 0.89,62.49 \scriptsize $\pm$ 1.08,abla_most_family_seen_xlmr,xquad,"[42, 66, 17, 23]","[63.608756799155714, 61.21589127188241, 63.13098715326225, 62.01995632602212]",0.8542969235132716,0.25966935544485864,0.4472945637052809
50.43 \scriptsize $\pm$ 0.86,65.52 \scriptsize $\pm$ 2.49,61.77 \scriptsize $\pm$ 1.99,68.01 \scriptsize $\pm$ 1.38,58.46 \scriptsize $\pm$ 1.42,65.50 \scriptsize $\pm$ 1.93,58.70 \scriptsize $\pm$ 1.88,60.36 \scriptsize $\pm$ 1.60,65.97 \scriptsize $\pm$ 1.89,47.24 \scriptsize $\pm$ 1.05,72.31 \scriptsize $\pm$ 0.85,76.35 \scriptsize $\pm$ 1.15,62.55 \scriptsize $\pm$ 1.42,abla_most_family_unseen_mbert,xquad,"[42, 66, 17, 23]","[60.962139024424694, 63.19468023081228, 61.8724369487297, 64.1782447286969]",0.7346123966527214,0.19346479544871595,0.35155450662072685
51.15 \scriptsize $\pm$ 0.39,66.26 \scriptsize $\pm$ 1.23,63.14 \scriptsize $\pm$ 1.11,68.53 \scriptsize $\pm$ 0.57,58.19 \scriptsize $\pm$ 1.10,66.08 \scriptsize $\pm$ 1.06,58.56 \scriptsize $\pm$ 2.34,61.40 \scriptsize $\pm$ 0.86,66.00 \scriptsize $\pm$ 1.16,47.30 \scriptsize $\pm$ 0.47,72.73 \scriptsize $\pm$ 0.97,76.95 \scriptsize $\pm$ 0.65,63.02 \scriptsize $\pm$ 0.78,abla_most_family_unseen_xlmr,xquad,"[42, 66, 17, 23]","[61.86432110395523, 63.58239347548877, 63.26073336274433, 63.38930505980468]",0.04902750962440286,0.3976028521644381,0.2953680638724047
50.69 \scriptsize $\pm$ 0.70,66.05 \scriptsize $\pm$ 1.03,62.00 \scriptsize $\pm$ 0.56,68.26 \scriptsize $\pm$ 0.53,58.14 \scriptsize $\pm$ 1.67,66.11 \scriptsize $\pm$ 0.81,58.58 \scriptsize $\pm$ 1.85,60.65 \scriptsize $\pm$ 1.39,65.56 \scriptsize $\pm$ 0.70,47.21 \scriptsize $\pm$ 0.33,71.89 \scriptsize $\pm$ 1.16,76.67 \scriptsize $\pm$ 0.23,62.65 \scriptsize $\pm$ 0.64,abla_most_script_joshi2,xquad,"[42, 66, 17, 23]","[61.71755217094617, 62.76960363468043, 63.148198604351535, 62.96714195613938]",0.29850790091234886,0.18360823053914788,0.007832247046224233
52.63 \scriptsize $\pm$ 0.53,67.94 \scriptsize $\pm$ 0.45,63.20 \scriptsize $\pm$ 0.68,69.58 \scriptsize $\pm$ 0.66,59.92 \scriptsize $\pm$ 0.17,67.12 \scriptsize $\pm$ 0.33,59.89 \scriptsize $\pm$ 0.82,61.75 \scriptsize $\pm$ 0.97,67.66 \scriptsize $\pm$ 0.48,48.32 \scriptsize $\pm$ 0.95,74.34 \scriptsize $\pm$ 0.50,77.16 \scriptsize $\pm$ 0.13,64.13 \scriptsize $\pm$ 0.16,abla_most_script_joshi3,xquad,"[42, 66, 17, 23]","[64.2526160483905, 63.89788572644812, 64.17254524228855, 64.1821519467035]",0.047341487081084516,0.17335413898567753,0.10624615398435444
51.22 \scriptsize $\pm$ 0.97,67.42 \scriptsize $\pm$ 1.75,62.66 \scriptsize $\pm$ 0.84,69.25 \scriptsize $\pm$ 0.80,59.11 \scriptsize $\pm$ 1.08,66.21 \scriptsize $\pm$ 0.32,59.74 \scriptsize $\pm$ 1.45,61.60 \scriptsize $\pm$ 0.85,67.32 \scriptsize $\pm$ 0.62,47.78 \scriptsize $\pm$ 0.81,73.37 \scriptsize $\pm$ 0.38,76.94 \scriptsize $\pm$ 0.36,63.55 \scriptsize $\pm$ 0.68,abla_most_script_joshi35,xquad,"[42, 66, 17, 23]","[64.53793351285995, 63.23607671011612, 63.45248384689515, 62.982783424442346]",0.21519432515026168,0.9611152540053318,0.6348432049687408
