final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_et_accuracy,final_eval_eu_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_id_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_kk_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_mr_accuracy,final_eval_nl_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_ta_accuracy,final_eval_te_accuracy,final_eval_th_accuracy,final_eval_tl_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_bam_accuracy,final_eval_ewe_accuracy,final_eval_fon_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lug_accuracy,final_eval_luo_accuracy,final_eval_mos_accuracy,final_eval_nya_accuracy,final_eval_sna_accuracy,final_eval_swa_accuracy,final_eval_tsn_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
89.15 \scriptsize $\pm$ 0.36,76.85 \scriptsize $\pm$ 0.48,89.58 \scriptsize $\pm$ 0.23,88.27 \scriptsize $\pm$ 0.50,88.04 \scriptsize $\pm$ 0.85,89.30 \scriptsize $\pm$ 0.16,88.22 \scriptsize $\pm$ 0.55,77.53 \scriptsize $\pm$ 0.89,75.58 \scriptsize $\pm$ 0.38,87.02 \scriptsize $\pm$ 0.37,86.44 \scriptsize $\pm$ 0.34,84.41 \scriptsize $\pm$ 0.17,73.45 \scriptsize $\pm$ 3.81,85.41 \scriptsize $\pm$ 0.25,86.21 \scriptsize $\pm$ 0.21,90.39 \scriptsize $\pm$ 0.13,55.19 \scriptsize $\pm$ 1.74,83.05 \scriptsize $\pm$ 0.40,64.50 \scriptsize $\pm$ 0.16,86.82 \scriptsize $\pm$ 0.30,84.85 \scriptsize $\pm$ 0.56,90.23 \scriptsize $\pm$ 0.08,85.04 \scriptsize $\pm$ 0.50,90.66 \scriptsize $\pm$ 0.21,84.96 \scriptsize $\pm$ 0.23,90.57 \scriptsize $\pm$ 0.15,78.13 \scriptsize $\pm$ 0.90,86.41 \scriptsize $\pm$ 0.49,68.52 \scriptsize $\pm$ 0.13,71.26 \scriptsize $\pm$ 0.71,78.62 \scriptsize $\pm$ 0.43,87.46 \scriptsize $\pm$ 0.13,69.38 \scriptsize $\pm$ 3.80,65.49 \scriptsize $\pm$ 0.21,73.71 \scriptsize $\pm$ 1.17,39.83 \scriptsize $\pm$ 0.83,44.17 \scriptsize $\pm$ 1.09,28.27 \scriptsize $\pm$ 0.83,51.46 \scriptsize $\pm$ 0.30,34.01 \scriptsize $\pm$ 1.56,34.93 \scriptsize $\pm$ 2.01,35.45 \scriptsize $\pm$ 0.69,42.29 \scriptsize $\pm$ 1.38,51.07 \scriptsize $\pm$ 1.02,36.92 \scriptsize $\pm$ 1.25,37.92 \scriptsize $\pm$ 0.83,58.66 \scriptsize $\pm$ 0.40,33.28 \scriptsize $\pm$ 0.58,27.21 \scriptsize $\pm$ 0.77,32.91 \scriptsize $\pm$ 1.43,42.42 \scriptsize $\pm$ 1.05,30.29 \scriptsize $\pm$ 1.84,41.75 \scriptsize $\pm$ 2.79,96.11 \scriptsize $\pm$ 0.02,67.59 \scriptsize $\pm$ 0.19,abla_most_family_joshi2,xtreme_r.udpos,"[42, 66, 17, 23]","[67.73998208243545, 67.3066650692448, 67.66803118878512, 67.63094578145089]",0.0027319702627276797,0.3261692941516554,0.0002762678612874969
89.20 \scriptsize $\pm$ 0.16,76.89 \scriptsize $\pm$ 0.67,90.24 \scriptsize $\pm$ 0.44,88.51 \scriptsize $\pm$ 0.32,88.84 \scriptsize $\pm$ 0.71,89.36 \scriptsize $\pm$ 0.52,88.81 \scriptsize $\pm$ 0.56,77.38 \scriptsize $\pm$ 0.47,75.64 \scriptsize $\pm$ 0.30,87.43 \scriptsize $\pm$ 0.39,86.66 \scriptsize $\pm$ 0.38,84.76 \scriptsize $\pm$ 0.37,72.85 \scriptsize $\pm$ 2.55,85.21 \scriptsize $\pm$ 0.55,86.20 \scriptsize $\pm$ 0.13,90.98 \scriptsize $\pm$ 0.53,53.90 \scriptsize $\pm$ 1.52,83.79 \scriptsize $\pm$ 0.22,64.52 \scriptsize $\pm$ 0.24,86.95 \scriptsize $\pm$ 0.36,85.81 \scriptsize $\pm$ 0.84,90.36 \scriptsize $\pm$ 0.16,85.73 \scriptsize $\pm$ 0.46,90.65 \scriptsize $\pm$ 0.46,85.69 \scriptsize $\pm$ 0.48,90.74 \scriptsize $\pm$ 0.19,78.14 \scriptsize $\pm$ 0.19,88.25 \scriptsize $\pm$ 0.54,68.45 \scriptsize $\pm$ 0.53,72.02 \scriptsize $\pm$ 0.44,78.89 \scriptsize $\pm$ 0.13,87.87 \scriptsize $\pm$ 0.26,67.39 \scriptsize $\pm$ 1.42,65.42 \scriptsize $\pm$ 0.43,73.80 \scriptsize $\pm$ 0.27,42.88 \scriptsize $\pm$ 1.21,40.85 \scriptsize $\pm$ 1.53,28.64 \scriptsize $\pm$ 1.63,50.79 \scriptsize $\pm$ 0.37,35.63 \scriptsize $\pm$ 2.94,39.60 \scriptsize $\pm$ 1.31,36.81 \scriptsize $\pm$ 1.19,34.15 \scriptsize $\pm$ 1.50,39.85 \scriptsize $\pm$ 0.96,35.60 \scriptsize $\pm$ 2.06,37.64 \scriptsize $\pm$ 1.61,59.39 \scriptsize $\pm$ 0.49,32.15 \scriptsize $\pm$ 1.89,30.83 \scriptsize $\pm$ 0.56,34.91 \scriptsize $\pm$ 1.87,44.28 \scriptsize $\pm$ 1.46,30.20 \scriptsize $\pm$ 1.56,44.12 \scriptsize $\pm$ 1.81,96.11 \scriptsize $\pm$ 0.03,67.62 \scriptsize $\pm$ 0.34,abla_most_family_joshi3,xtreme_r.udpos,"[42, 66, 17, 23]","[67.50989378750661, 67.41149436807463, 67.44849991219934, 68.13008512255138]",0.00043911654860965616,0.34935448531607727,0.0024447982679866704
89.07 \scriptsize $\pm$ 0.07,77.76 \scriptsize $\pm$ 1.29,90.04 \scriptsize $\pm$ 0.42,88.90 \scriptsize $\pm$ 0.29,88.98 \scriptsize $\pm$ 0.56,89.50 \scriptsize $\pm$ 0.47,88.53 \scriptsize $\pm$ 0.46,77.82 \scriptsize $\pm$ 0.84,75.44 \scriptsize $\pm$ 0.38,87.39 \scriptsize $\pm$ 0.51,86.83 \scriptsize $\pm$ 0.42,84.96 \scriptsize $\pm$ 0.32,72.93 \scriptsize $\pm$ 2.16,85.46 \scriptsize $\pm$ 0.50,86.39 \scriptsize $\pm$ 0.18,90.83 \scriptsize $\pm$ 0.26,55.21 \scriptsize $\pm$ 1.40,83.76 \scriptsize $\pm$ 0.51,64.53 \scriptsize $\pm$ 0.37,87.05 \scriptsize $\pm$ 0.25,86.18 \scriptsize $\pm$ 0.54,90.33 \scriptsize $\pm$ 0.10,85.70 \scriptsize $\pm$ 0.43,90.72 \scriptsize $\pm$ 0.34,85.78 \scriptsize $\pm$ 0.26,90.81 \scriptsize $\pm$ 0.25,78.41 \scriptsize $\pm$ 0.52,87.93 \scriptsize $\pm$ 0.66,68.14 \scriptsize $\pm$ 0.28,71.27 \scriptsize $\pm$ 0.40,78.98 \scriptsize $\pm$ 0.20,87.87 \scriptsize $\pm$ 0.41,67.75 \scriptsize $\pm$ 1.46,65.10 \scriptsize $\pm$ 0.36,73.73 \scriptsize $\pm$ 0.68,44.76 \scriptsize $\pm$ 1.99,42.23 \scriptsize $\pm$ 1.70,29.19 \scriptsize $\pm$ 1.01,50.98 \scriptsize $\pm$ 0.15,36.98 \scriptsize $\pm$ 1.05,40.08 \scriptsize $\pm$ 1.86,37.35 \scriptsize $\pm$ 1.95,35.50 \scriptsize $\pm$ 1.03,40.70 \scriptsize $\pm$ 0.79,37.02 \scriptsize $\pm$ 1.38,38.64 \scriptsize $\pm$ 1.79,59.34 \scriptsize $\pm$ 0.47,33.13 \scriptsize $\pm$ 1.24,31.95 \scriptsize $\pm$ 1.32,36.33 \scriptsize $\pm$ 2.27,44.11 \scriptsize $\pm$ 1.07,28.88 \scriptsize $\pm$ 1.06,43.56 \scriptsize $\pm$ 1.12,96.17 \scriptsize $\pm$ 0.02,67.91 \scriptsize $\pm$ 0.43,abla_most_family_joshi35,xtreme_r.udpos,"[42, 66, 17, 23]","[68.16097246353716, 68.01250700806939, 67.27607084120933, 68.17721216692331]",0.003948704612152812,0.2767509342201801,0.005004248970513186
89.13 \scriptsize $\pm$ 0.14,76.76 \scriptsize $\pm$ 1.40,89.89 \scriptsize $\pm$ 0.38,88.55 \scriptsize $\pm$ 0.24,88.56 \scriptsize $\pm$ 0.65,89.12 \scriptsize $\pm$ 0.51,88.68 \scriptsize $\pm$ 0.60,77.85 \scriptsize $\pm$ 0.90,75.00 \scriptsize $\pm$ 0.61,87.40 \scriptsize $\pm$ 0.55,86.47 \scriptsize $\pm$ 0.39,83.91 \scriptsize $\pm$ 0.29,74.90 \scriptsize $\pm$ 3.52,85.48 \scriptsize $\pm$ 0.47,86.32 \scriptsize $\pm$ 0.30,90.30 \scriptsize $\pm$ 0.45,56.67 \scriptsize $\pm$ 2.36,84.01 \scriptsize $\pm$ 0.62,64.56 \scriptsize $\pm$ 0.34,86.90 \scriptsize $\pm$ 0.30,84.41 \scriptsize $\pm$ 1.34,90.17 \scriptsize $\pm$ 0.14,85.61 \scriptsize $\pm$ 0.60,90.48 \scriptsize $\pm$ 0.42,85.31 \scriptsize $\pm$ 0.38,90.62 \scriptsize $\pm$ 0.16,78.70 \scriptsize $\pm$ 0.74,87.59 \scriptsize $\pm$ 0.58,67.85 \scriptsize $\pm$ 0.36,71.52 \scriptsize $\pm$ 0.32,78.99 \scriptsize $\pm$ 0.29,87.40 \scriptsize $\pm$ 0.61,69.94 \scriptsize $\pm$ 2.84,65.01 \scriptsize $\pm$ 0.27,73.54 \scriptsize $\pm$ 0.20,45.69 \scriptsize $\pm$ 1.61,40.29 \scriptsize $\pm$ 1.86,31.57 \scriptsize $\pm$ 1.26,50.88 \scriptsize $\pm$ 0.20,40.13 \scriptsize $\pm$ 2.84,41.89 \scriptsize $\pm$ 1.83,39.96 \scriptsize $\pm$ 2.22,37.39 \scriptsize $\pm$ 1.48,41.49 \scriptsize $\pm$ 1.39,39.10 \scriptsize $\pm$ 1.58,40.89 \scriptsize $\pm$ 1.75,59.13 \scriptsize $\pm$ 0.69,32.76 \scriptsize $\pm$ 1.16,31.69 \scriptsize $\pm$ 0.96,38.95 \scriptsize $\pm$ 0.29,43.68 \scriptsize $\pm$ 1.03,38.95 \scriptsize $\pm$ 1.64,44.35 \scriptsize $\pm$ 1.63,96.18 \scriptsize $\pm$ 0.03,68.38 \scriptsize $\pm$ 0.25,abla_most_family_seen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[68.24227611397592, 68.33462882638398, 68.19795248119829, 68.74822689849046]",0.00017956503794611673,0.039506532125076495,0.004573242907901676
89.28 \scriptsize $\pm$ 0.16,77.03 \scriptsize $\pm$ 1.00,90.02 \scriptsize $\pm$ 0.32,88.69 \scriptsize $\pm$ 0.19,88.53 \scriptsize $\pm$ 0.67,89.33 \scriptsize $\pm$ 0.37,88.41 \scriptsize $\pm$ 0.66,78.52 \scriptsize $\pm$ 1.52,75.07 \scriptsize $\pm$ 0.79,87.18 \scriptsize $\pm$ 0.57,86.66 \scriptsize $\pm$ 0.38,84.77 \scriptsize $\pm$ 0.63,75.57 \scriptsize $\pm$ 4.51,85.44 \scriptsize $\pm$ 0.36,86.22 \scriptsize $\pm$ 0.20,90.59 \scriptsize $\pm$ 0.50,57.07 \scriptsize $\pm$ 2.60,83.48 \scriptsize $\pm$ 0.55,64.63 \scriptsize $\pm$ 0.51,86.92 \scriptsize $\pm$ 0.12,85.74 \scriptsize $\pm$ 1.09,90.19 \scriptsize $\pm$ 0.06,85.79 \scriptsize $\pm$ 0.20,90.61 \scriptsize $\pm$ 0.38,85.54 \scriptsize $\pm$ 0.51,90.77 \scriptsize $\pm$ 0.29,78.36 \scriptsize $\pm$ 0.42,87.41 \scriptsize $\pm$ 0.35,68.14 \scriptsize $\pm$ 0.46,71.89 \scriptsize $\pm$ 0.78,78.96 \scriptsize $\pm$ 0.24,87.68 \scriptsize $\pm$ 0.40,70.85 \scriptsize $\pm$ 4.47,65.16 \scriptsize $\pm$ 0.48,72.88 \scriptsize $\pm$ 0.91,39.16 \scriptsize $\pm$ 1.72,40.07 \scriptsize $\pm$ 1.61,28.96 \scriptsize $\pm$ 1.14,50.37 \scriptsize $\pm$ 0.27,33.82 \scriptsize $\pm$ 1.28,44.87 \scriptsize $\pm$ 0.39,41.07 \scriptsize $\pm$ 0.85,35.81 \scriptsize $\pm$ 0.90,40.62 \scriptsize $\pm$ 1.47,39.92 \scriptsize $\pm$ 1.46,42.01 \scriptsize $\pm$ 0.89,59.38 \scriptsize $\pm$ 0.83,35.25 \scriptsize $\pm$ 0.42,28.69 \scriptsize $\pm$ 1.36,33.34 \scriptsize $\pm$ 0.93,44.83 \scriptsize $\pm$ 1.99,29.33 \scriptsize $\pm$ 1.13,44.31 \scriptsize $\pm$ 2.60,96.16 \scriptsize $\pm$ 0.02,67.99 \scriptsize $\pm$ 0.22,abla_most_family_seen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[68.12875554856703, 67.96185210760507, 67.68286028838519, 68.17782556328449]",0.0007711691259040092,0.14571228155608038,0.001604338197936338
88.84 \scriptsize $\pm$ 0.16,75.96 \scriptsize $\pm$ 1.31,89.65 \scriptsize $\pm$ 0.10,88.33 \scriptsize $\pm$ 0.24,87.67 \scriptsize $\pm$ 0.64,89.53 \scriptsize $\pm$ 0.28,88.49 \scriptsize $\pm$ 0.42,76.89 \scriptsize $\pm$ 0.42,75.47 \scriptsize $\pm$ 0.45,87.11 \scriptsize $\pm$ 0.31,86.79 \scriptsize $\pm$ 0.44,84.50 \scriptsize $\pm$ 0.36,73.72 \scriptsize $\pm$ 3.44,85.46 \scriptsize $\pm$ 0.33,86.20 \scriptsize $\pm$ 0.13,90.31 \scriptsize $\pm$ 0.27,55.37 \scriptsize $\pm$ 2.18,82.20 \scriptsize $\pm$ 0.15,64.64 \scriptsize $\pm$ 0.31,86.84 \scriptsize $\pm$ 0.12,83.68 \scriptsize $\pm$ 0.70,90.29 \scriptsize $\pm$ 0.22,85.62 \scriptsize $\pm$ 0.46,91.01 \scriptsize $\pm$ 0.21,85.06 \scriptsize $\pm$ 0.25,90.52 \scriptsize $\pm$ 0.21,77.64 \scriptsize $\pm$ 0.21,86.51 \scriptsize $\pm$ 0.59,68.43 \scriptsize $\pm$ 0.37,71.26 \scriptsize $\pm$ 0.51,77.98 \scriptsize $\pm$ 0.25,87.23 \scriptsize $\pm$ 0.21,68.90 \scriptsize $\pm$ 3.84,65.40 \scriptsize $\pm$ 0.12,75.19 \scriptsize $\pm$ 0.87,50.15 \scriptsize $\pm$ 0.54,44.98 \scriptsize $\pm$ 1.40,34.17 \scriptsize $\pm$ 1.86,51.11 \scriptsize $\pm$ 0.31,34.97 \scriptsize $\pm$ 1.84,40.20 \scriptsize $\pm$ 0.91,43.15 \scriptsize $\pm$ 1.11,42.29 \scriptsize $\pm$ 0.98,51.16 \scriptsize $\pm$ 1.05,41.03 \scriptsize $\pm$ 0.59,44.16 \scriptsize $\pm$ 1.53,58.69 \scriptsize $\pm$ 0.39,35.30 \scriptsize $\pm$ 0.55,35.98 \scriptsize $\pm$ 1.11,33.30 \scriptsize $\pm$ 0.49,43.41 \scriptsize $\pm$ 1.38,31.04 \scriptsize $\pm$ 0.56,43.35 \scriptsize $\pm$ 2.19,96.10 \scriptsize $\pm$ 0.03,68.58 \scriptsize $\pm$ 0.27,abla_most_family_unseen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[68.7609129442348, 68.42863149834854, 68.8502950180899, 68.27320818254]",0.11577658719950265,0.020530120307920677,0.0003842380282601196
88.39 \scriptsize $\pm$ 0.31,77.35 \scriptsize $\pm$ 1.34,89.62 \scriptsize $\pm$ 0.09,88.45 \scriptsize $\pm$ 0.30,88.25 \scriptsize $\pm$ 0.68,89.66 \scriptsize $\pm$ 0.35,88.70 \scriptsize $\pm$ 0.21,75.14 \scriptsize $\pm$ 1.23,76.95 \scriptsize $\pm$ 0.87,87.06 \scriptsize $\pm$ 0.22,86.65 \scriptsize $\pm$ 0.48,84.61 \scriptsize $\pm$ 0.54,74.11 \scriptsize $\pm$ 2.59,85.92 \scriptsize $\pm$ 0.06,86.12 \scriptsize $\pm$ 0.21,90.31 \scriptsize $\pm$ 0.52,55.16 \scriptsize $\pm$ 2.55,81.03 \scriptsize $\pm$ 0.33,64.90 \scriptsize $\pm$ 0.51,86.66 \scriptsize $\pm$ 0.13,84.19 \scriptsize $\pm$ 2.04,89.98 \scriptsize $\pm$ 0.13,85.51 \scriptsize $\pm$ 0.26,91.02 \scriptsize $\pm$ 0.23,84.94 \scriptsize $\pm$ 0.63,90.71 \scriptsize $\pm$ 0.15,77.32 \scriptsize $\pm$ 0.17,85.78 \scriptsize $\pm$ 0.80,67.79 \scriptsize $\pm$ 0.70,71.15 \scriptsize $\pm$ 0.23,77.49 \scriptsize $\pm$ 0.12,87.53 \scriptsize $\pm$ 0.30,68.56 \scriptsize $\pm$ 2.91,65.40 \scriptsize $\pm$ 0.16,74.00 \scriptsize $\pm$ 1.63,49.64 \scriptsize $\pm$ 1.50,44.75 \scriptsize $\pm$ 1.80,33.56 \scriptsize $\pm$ 1.22,49.80 \scriptsize $\pm$ 0.15,38.09 \scriptsize $\pm$ 2.36,38.15 \scriptsize $\pm$ 1.50,40.41 \scriptsize $\pm$ 1.62,40.31 \scriptsize $\pm$ 0.53,50.60 \scriptsize $\pm$ 1.60,42.24 \scriptsize $\pm$ 0.90,43.61 \scriptsize $\pm$ 0.83,58.40 \scriptsize $\pm$ 1.01,35.06 \scriptsize $\pm$ 0.48,34.27 \scriptsize $\pm$ 1.55,43.88 \scriptsize $\pm$ 1.13,44.60 \scriptsize $\pm$ 1.49,37.08 \scriptsize $\pm$ 0.92,44.69 \scriptsize $\pm$ 1.75,96.06 \scriptsize $\pm$ 0.01,68.73 \scriptsize $\pm$ 0.13,abla_most_family_unseen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[68.66196554391018, 68.90548383770303, 68.76253099102317, 68.60532517004083]",0.08601515941972089,0.025158778777394857,0.0004720195125777278
89.18 \scriptsize $\pm$ 0.09,76.58 \scriptsize $\pm$ 0.96,89.60 \scriptsize $\pm$ 0.15,88.63 \scriptsize $\pm$ 0.29,88.36 \scriptsize $\pm$ 0.83,89.50 \scriptsize $\pm$ 0.27,88.48 \scriptsize $\pm$ 0.37,77.19 \scriptsize $\pm$ 0.74,75.80 \scriptsize $\pm$ 0.66,87.13 \scriptsize $\pm$ 0.30,86.76 \scriptsize $\pm$ 0.44,84.01 \scriptsize $\pm$ 0.55,72.91 \scriptsize $\pm$ 0.86,85.47 \scriptsize $\pm$ 0.30,86.47 \scriptsize $\pm$ 0.29,90.67 \scriptsize $\pm$ 0.44,56.30 \scriptsize $\pm$ 1.50,82.61 \scriptsize $\pm$ 0.54,64.56 \scriptsize $\pm$ 0.50,86.89 \scriptsize $\pm$ 0.20,84.78 \scriptsize $\pm$ 1.28,90.22 \scriptsize $\pm$ 0.15,85.72 \scriptsize $\pm$ 0.40,90.84 \scriptsize $\pm$ 0.30,85.31 \scriptsize $\pm$ 0.57,90.69 \scriptsize $\pm$ 0.11,77.65 \scriptsize $\pm$ 0.22,86.89 \scriptsize $\pm$ 0.85,68.67 \scriptsize $\pm$ 0.36,71.60 \scriptsize $\pm$ 0.53,78.40 \scriptsize $\pm$ 0.11,87.46 \scriptsize $\pm$ 0.28,68.08 \scriptsize $\pm$ 0.45,65.44 \scriptsize $\pm$ 0.16,74.66 \scriptsize $\pm$ 1.39,38.20 \scriptsize $\pm$ 1.47,39.78 \scriptsize $\pm$ 0.99,26.36 \scriptsize $\pm$ 1.30,49.78 \scriptsize $\pm$ 0.13,38.72 \scriptsize $\pm$ 1.24,38.73 \scriptsize $\pm$ 1.35,39.24 \scriptsize $\pm$ 2.02,34.08 \scriptsize $\pm$ 0.51,38.53 \scriptsize $\pm$ 1.67,39.22 \scriptsize $\pm$ 0.66,37.81 \scriptsize $\pm$ 1.19,58.40 \scriptsize $\pm$ 0.43,32.69 \scriptsize $\pm$ 0.39,27.14 \scriptsize $\pm$ 0.47,34.51 \scriptsize $\pm$ 0.51,42.30 \scriptsize $\pm$ 0.69,36.93 \scriptsize $\pm$ 0.66,41.93 \scriptsize $\pm$ 0.98,96.10 \scriptsize $\pm$ 0.04,67.48 \scriptsize $\pm$ 0.15,abla_most_script_joshi2,xtreme_r.udpos,"[42, 66, 17, 23]","[67.51649522514074, 67.37027251725216, 67.36315493304815, 67.67253451051326]",0.00021550060496055662,0.6080160813068939,0.00043991101605838414
89.08 \scriptsize $\pm$ 0.14,76.75 \scriptsize $\pm$ 1.01,89.78 \scriptsize $\pm$ 0.10,88.54 \scriptsize $\pm$ 0.13,88.65 \scriptsize $\pm$ 0.36,89.46 \scriptsize $\pm$ 0.22,88.44 \scriptsize $\pm$ 0.37,78.06 \scriptsize $\pm$ 1.04,75.80 \scriptsize $\pm$ 0.38,87.21 \scriptsize $\pm$ 0.42,86.81 \scriptsize $\pm$ 0.18,83.99 \scriptsize $\pm$ 0.27,73.69 \scriptsize $\pm$ 3.14,85.43 \scriptsize $\pm$ 0.44,86.44 \scriptsize $\pm$ 0.34,90.76 \scriptsize $\pm$ 0.53,54.48 \scriptsize $\pm$ 2.50,83.47 \scriptsize $\pm$ 0.28,64.74 \scriptsize $\pm$ 0.26,86.83 \scriptsize $\pm$ 0.14,85.00 \scriptsize $\pm$ 1.25,90.28 \scriptsize $\pm$ 0.09,85.42 \scriptsize $\pm$ 0.26,90.88 \scriptsize $\pm$ 0.11,85.93 \scriptsize $\pm$ 0.21,90.42 \scriptsize $\pm$ 0.12,78.33 \scriptsize $\pm$ 0.56,87.59 \scriptsize $\pm$ 0.46,68.04 \scriptsize $\pm$ 0.27,71.25 \scriptsize $\pm$ 0.32,79.01 \scriptsize $\pm$ 0.12,87.15 \scriptsize $\pm$ 0.46,68.21 \scriptsize $\pm$ 2.14,65.52 \scriptsize $\pm$ 0.19,74.06 \scriptsize $\pm$ 0.72,44.18 \scriptsize $\pm$ 2.59,40.55 \scriptsize $\pm$ 1.66,27.93 \scriptsize $\pm$ 0.44,50.47 \scriptsize $\pm$ 0.27,35.05 \scriptsize $\pm$ 1.54,37.91 \scriptsize $\pm$ 2.29,36.68 \scriptsize $\pm$ 1.46,33.57 \scriptsize $\pm$ 0.20,39.18 \scriptsize $\pm$ 0.44,36.71 \scriptsize $\pm$ 1.90,37.60 \scriptsize $\pm$ 1.98,58.84 \scriptsize $\pm$ 0.52,32.83 \scriptsize $\pm$ 0.80,30.70 \scriptsize $\pm$ 1.25,35.90 \scriptsize $\pm$ 1.95,44.05 \scriptsize $\pm$ 0.60,26.59 \scriptsize $\pm$ 1.86,43.57 \scriptsize $\pm$ 1.06,96.15 \scriptsize $\pm$ 0.05,67.48 \scriptsize $\pm$ 0.35,abla_most_script_joshi3,xtreme_r.udpos,"[42, 66, 17, 23]","[67.84114904161618, 67.51699296962128, 67.56267642844048, 67.00274878684245]",0.009976940844712347,0.7007233954717647,0.00024856952887036896
88.94 \scriptsize $\pm$ 0.17,77.31 \scriptsize $\pm$ 0.88,90.02 \scriptsize $\pm$ 0.45,88.56 \scriptsize $\pm$ 0.12,88.70 \scriptsize $\pm$ 0.24,89.52 \scriptsize $\pm$ 0.20,88.63 \scriptsize $\pm$ 0.57,77.59 \scriptsize $\pm$ 0.80,75.26 \scriptsize $\pm$ 0.69,87.41 \scriptsize $\pm$ 0.56,86.86 \scriptsize $\pm$ 0.13,84.36 \scriptsize $\pm$ 0.66,72.53 \scriptsize $\pm$ 1.64,85.30 \scriptsize $\pm$ 0.63,86.43 \scriptsize $\pm$ 0.24,90.67 \scriptsize $\pm$ 0.23,55.67 \scriptsize $\pm$ 1.45,83.89 \scriptsize $\pm$ 0.54,64.65 \scriptsize $\pm$ 0.30,86.81 \scriptsize $\pm$ 0.14,86.03 \scriptsize $\pm$ 0.70,90.24 \scriptsize $\pm$ 0.09,85.81 \scriptsize $\pm$ 0.30,90.76 \scriptsize $\pm$ 0.08,85.79 \scriptsize $\pm$ 0.14,90.66 \scriptsize $\pm$ 0.08,78.45 \scriptsize $\pm$ 0.21,88.52 \scriptsize $\pm$ 0.80,68.21 \scriptsize $\pm$ 0.38,70.88 \scriptsize $\pm$ 0.37,79.01 \scriptsize $\pm$ 0.09,87.74 \scriptsize $\pm$ 0.33,67.57 \scriptsize $\pm$ 1.65,65.19 \scriptsize $\pm$ 0.23,74.43 \scriptsize $\pm$ 1.05,43.59 \scriptsize $\pm$ 2.28,40.26 \scriptsize $\pm$ 1.13,27.74 \scriptsize $\pm$ 0.37,50.67 \scriptsize $\pm$ 0.15,35.67 \scriptsize $\pm$ 2.16,38.59 \scriptsize $\pm$ 1.91,36.78 \scriptsize $\pm$ 1.42,32.84 \scriptsize $\pm$ 0.86,38.89 \scriptsize $\pm$ 1.48,36.14 \scriptsize $\pm$ 0.74,37.92 \scriptsize $\pm$ 1.06,58.89 \scriptsize $\pm$ 0.60,32.41 \scriptsize $\pm$ 0.39,30.98 \scriptsize $\pm$ 1.97,35.14 \scriptsize $\pm$ 1.53,43.71 \scriptsize $\pm$ 1.41,28.49 \scriptsize $\pm$ 2.22,42.82 \scriptsize $\pm$ 1.26,96.17 \scriptsize $\pm$ 0.04,67.52 \scriptsize $\pm$ 0.28,abla_most_script_joshi35,xtreme_r.udpos,"[42, 66, 17, 23]","[67.6598573390358, 67.73422470867261, 67.1140253071691, 67.57145229691594]",0.0010264752558282043,0.6625382121265416,0.0010100583025937264
