method,baseline,baseline,before_dico,before_dico,freeze_high_anisotropy_half_dico,freeze_high_anisotropy_half_dico,freeze_high_anisotropy_onethird_dico,freeze_high_anisotropy_onethird_dico,high_anisotropy_onethird_dico,high_anisotropy_onethird_dico
,mean,std,mean,std,mean,std,mean,std,mean,std
language,,,,,,,,,,
ar,0.6499001996007984,0.0073365173451054675,0.6390552228875582,0.016672741232661402,0.6462408516300732,0.008374516267366967,0.64750499001996,0.005403986575122124,0.6461077844311377,0.0025483324021564197
avg,0.6615859190709491,0.01171896246605062,0.6596443476682997,0.005936028468555632,0.665916651545394,0.0017406785163481258,0.6702352870017542,0.004784034187708291,0.6640295167241276,0.0028762997759813028
bg,0.6799068529607452,0.011846157445461305,0.6765136393878909,0.005847769737607066,0.684896872920825,0.005133014377108695,0.689354624085163,0.003963638325643754,0.6831004657351962,0.0037678230564917536
de,0.7015968063872254,0.018193259664839704,0.691350632069195,0.005251941682465973,0.7015302727877578,0.002724630103718306,0.6984697272122422,0.008783191160829597,0.7018629407850966,0.005942385405569233
el,0.6625415834996673,0.0058409528286597,0.6540252827677977,0.0003048952558187296,0.6630738522954092,0.0029403033657996775,0.6687292082501664,0.009134508339584489,0.6636726546906188,0.0032676058969550712
es,0.7345309381237525,0.015070851641527104,0.7300066533599466,0.0043379702761684735,0.7335994677312043,0.007296585484578368,0.7316699933466401,0.0049913504546936095,0.7322022621423819,0.0031831999238604307
fr,0.7302727877578178,0.010190072017027837,0.7222222222222223,0.005289734986108019,0.7262142381902862,0.005844362277045254,0.7198935462408516,0.007658881435308509,0.7238190286094478,0.005190900093091051
hi,0.596540252827678,0.017242474659747514,0.6009314703925482,0.007927276651287521,0.6007984031936128,0.007771625682208345,0.615369261477046,0.007901267629896028,0.5993346640053226,0.005723823343713399
ru,0.6803725881570193,0.01843941228953076,0.6685961410512308,0.004097086977602303,0.6745841650033267,0.00452673019113076,0.6827677977378577,0.005449260207436652,0.6759148369926814,0.005590010329020654
same,0.8041250831669994,0.004428859412014024,0.7996673320026613,0.0018546054377599546,0.7999999999999999,0.007855755949762186,0.7920825016633399,0.004111647253620837,0.8015968063872255,0.004266977709866603
th,0.5400532268795741,0.009191033405049821,0.5564870259481038,0.017202763613904385,0.5652029274783765,0.010422016367238988,0.5736526946107784,0.002249386760396179,0.5623419827012641,0.014799202400837739
tr,0.6133067198935462,0.00781337913859972,0.6281437125748504,0.005850040275350407,0.637125748502994,0.005588822355289458,0.646773120425815,0.005086231497968457,0.6248170326014638,0.002989573112263593
vi,0.6884231536926148,0.017404228214213658,0.6887558216899534,0.008819404437219442,0.691816367265469,0.00790126762989599,0.6984031936127745,0.005037696392863897,0.6911510312707918,0.00725551876525122
