method,baseline,baseline,before_dico,before_dico,freeze_high_anisotropy_dico,freeze_high_anisotropy_dico,high_anisotropy_half_oneatatime_bottomup_13_dico,high_anisotropy_half_oneatatime_bottomup_13_dico,high_anisotropy_mean_dico,high_anisotropy_mean_dico
,mean,std,mean,std,mean,std,mean,std,mean,std
language,,,,,,,,,,
ar,0.5926147704590818,0.008684355256609625,0.5884896872920825,0.010721616542107074,0.5964737192282102,0.009029224752282265,0.5845642049234864,0.00561844634292641,0.5964737192282102,0.009029224752282265
avg,0.5939212484122663,0.006373911826555434,0.6097018085042037,0.003676443812346917,0.6096776144680336,0.0030410048436876913,0.608800580656868,0.0032299038287062487,0.6096776144680336,0.0030410048436876913
bg,0.6246174318030605,0.01978902083302333,0.6348636061210912,0.009709575316080962,0.6379906852960745,0.01652754072104433,0.625748502994012,0.0055350996502442846,0.6379906852960745,0.01652754072104433
de,0.6510978043912176,0.0054333962430403735,0.6540252827677978,0.015358024423762072,0.6576180971390553,0.002574257102082925,0.6528942115768462,0.012816485234873195,0.6576180971390553,0.002574257102082925
el,0.5981370592149036,0.014700613482238424,0.6000665335994677,0.016092743453504917,0.6144377910844977,0.009221326463956694,0.5892215568862276,0.012946385363817642,0.6144377910844977,0.009221326463956694
es,0.6996673320026613,0.0024391620465500003,0.6961410512308716,0.0018546054377599546,0.6979374584165003,0.002908515368515547,0.6905522288755822,0.004491387579970113,0.6979374584165003,0.002908515368515547
fr,0.6984697272122422,0.0052897349861080675,0.6906187624750499,0.008183632734530932,0.6875582168995343,0.009055660405067358,0.6813705921490353,0.005695913433353141,0.6875582168995343,0.009055660405067358
hi,0.5429807052561544,0.011622069653516828,0.5425149700598803,0.003977017733567096,0.5444444444444444,0.005074468387403347,0.5401862940785097,0.01044302017736976,0.5444444444444444,0.005074468387403347
ru,0.6327345309381237,0.0035481814041180668,0.6312707917498336,0.0058885054681771555,0.6327345309381237,0.00829964985480711,0.622022621423819,0.003872118303912569,0.6327345309381237,0.00829964985480711
same,0.7739188290086494,0.0010242717444005794,0.7731869594145043,0.006487281841516097,0.7709248170326015,0.001267635321574006,0.7607451763140386,0.0030292887392766726,0.7709248170326015,0.001267635321574006
th,0.3635395874916833,0.006698780426457405,0.4397205588822355,0.015439092725962196,0.42528276779773777,0.0346721773927335,0.484630738522954,0.01026926225102321,0.42528276779773777,0.0346721773927335
tr,0.56833000665336,0.0018865531442126473,0.5805056553559548,0.0039028634400698455,0.5816367265469062,0.0028786836530650564,0.5847638057218896,0.010244662079173836,0.5816367265469062,0.0028786836530650564
vi,0.5609447771124417,0.025801314678624336,0.6485029940119761,0.007457701274359033,0.6303393213572854,0.009804849573505138,0.6408516300731869,0.01063768018570976,0.6303393213572854,0.009804849573505138
