method,baseline,baseline,before_dico,before_dico,before_oneatatime_bottomup_13_dico,before_oneatatime_bottomup_13_dico,high_anisotropy_half_dico,high_anisotropy_half_dico,high_anisotropy_onethird_dico,high_anisotropy_onethird_dico
,mean,std,mean,std,mean,std,mean,std,mean,std
language,,,,,,,,,,
ar,0.6952095808383234,0.013984881481519641,0.6842980705256155,0.00852772852695251,0.6950765136393878,0.01066012783591829,0.6962741184298071,0.007585705730903712,0.7005322687957419,0.006810844102853227
avg,0.7278170930865543,0.007347190931824848,0.7171777656807596,0.00639367460890986,0.7243815399504022,0.005235679008101056,0.7253734954333756,0.008263376893461311,0.7276477348333635,0.005726756342452597
bg,0.7562208915502328,0.005786128436792222,0.7392548236859614,0.007580451865055149,0.749767132401863,0.005702903716327199,0.7486360612109116,0.006281349703330876,0.7505655355954758,0.004428859412014013
de,0.741317365269461,0.007328367165942442,0.7331337325349301,0.009302339479226355,0.7392548236859614,0.008982775159940212,0.7418496340652029,0.005482061757848112,0.7441783100465735,0.009797397277019242
el,0.7352628077178975,0.00721421827865387,0.7245508982035928,0.005037696392863806,0.7300066533599469,0.005270872207674886,0.7324683965402529,0.011295242052795333,0.7361942781104457,0.005390453519768281
es,0.7712574850299401,0.005535099650244364,0.7541583499667333,0.004878324093100001,0.7642714570858283,0.0025483324021563867,0.7652029274783766,0.007318393509749621,0.7662009314703925,0.0066029360047442105
fr,0.7594145043246839,0.0028251329002743036,0.7483033932135729,0.004036676330570199,0.7567531603459748,0.005144643625342194,0.7544910179640718,0.008725546105546654,0.755954757152362,0.0041213255265331586
hi,0.672787757817698,0.009770929698874236,0.6691284098469726,0.009392555565591466,0.6728542914171657,0.005381823857370348,0.6734530938123752,0.009595381510356828,0.6776447105788423,0.006396574993597622
ru,0.7369926813040585,0.007285656992946234,0.7256154357950765,0.003682260572727093,0.7337990685296075,0.004491387579970091,0.7338656021290753,0.0066868750015980395,0.7369261477045908,0.007921411110971822
same,0.8219560878243511,0.003992015968063867,0.80791749833666,0.002768149575876899,0.8139720558882235,0.005037696392863914,0.8163007318695942,0.0028392000390355322,0.818562874251497,0.0036966585184535065
th,0.6993346640053226,0.012858898353312538,0.6902860944777113,0.008675940552336841,0.6942115768463074,0.0015589320710392384,0.6957418496340653,0.012906832365117372,0.6991350632069194,0.00673141177375475
tr,0.709181636726547,0.00887045351029499,0.6986693280106454,0.009742345737973897,0.7038589487691285,0.004995339812294329,0.7083832335329342,0.013283579346886017,0.7067198935462408,0.007040939972136219
vi,0.7290086493679309,0.00547478950822909,0.7215568862275449,0.005469935970476911,0.7283433133732534,0.0058295735994052895,0.7287425149700599,0.006041016347473677,0.7300731869594145,0.0047959604234039
