method,baseline,baseline,before_dico,before_dico,freeze_high_anisotropy_dico,freeze_high_anisotropy_dico
,mean,std,mean,std,mean,std
language,,,,,,
ar,0.6499001996007984,0.0073365173451054675,0.6390552228875582,0.016672741232661402,0.6389221556886228,0.011922702214026451
avg,0.6615859190709491,0.01171896246605062,0.6596443476682997,0.005936028468555632,0.6617189862698845,0.008305545601087233
bg,0.6799068529607452,0.011846157445461305,0.6765136393878909,0.005847769737607066,0.6809048569527612,0.009242903577453316
de,0.7015968063872254,0.018193259664839704,0.691350632069195,0.005251941682465973,0.6948103792415169,0.0065868263473054245
el,0.6625415834996673,0.0058409528286597,0.6540252827677977,0.0003048952558187296,0.6607451763140385,0.004733247215391157
es,0.7345309381237525,0.015070851641527104,0.7300066533599466,0.0043379702761684735,0.7312042581503659,0.0023391078950428484
fr,0.7302727877578178,0.010190072017027837,0.7222222222222223,0.005289734986108019,0.7233532934131737,0.00912287016529062
hi,0.596540252827678,0.017242474659747514,0.6009314703925482,0.007927276651287521,0.5960745176314038,0.009813649536922011
ru,0.6803725881570193,0.01843941228953076,0.6685961410512308,0.004097086977602303,0.6749168330006654,0.007418421751039964
same,0.8041250831669994,0.004428859412014024,0.7996673320026613,0.0018546054377599546,0.7983366600133067,0.0022699563684939264
th,0.5400532268795741,0.009191033405049821,0.5564870259481038,0.017202763613904385,0.5613439787092481,0.01741261965480982
tr,0.6133067198935462,0.00781337913859972,0.6281437125748504,0.005850040275350407,0.6283433133732536,0.016923746675633854
vi,0.6884231536926148,0.017404228214213658,0.6887558216899534,0.008819404437219442,0.6882900864936793,0.00932016758304994
