method,baseline,baseline,before_dico,before_dico,freeze_high_anisotropy_dico,freeze_high_anisotropy_dico
,mean,std,mean,std,mean,std
language,,,,,,
ar,0.5882235528942116,0.005927841279408182,0.5884896872920825,0.010721616542107074,0.5964737192282102,0.009029224752282265
avg,0.5909635274904737,0.0053632849670834605,0.6097018085042037,0.003676443812346917,0.6096776144680336,0.0030410048436876913
bg,0.617564870259481,0.022017696180658918,0.6348636061210912,0.009709575316080962,0.6379906852960745,0.01652754072104433
de,0.6480039920159681,0.0012702517027303978,0.6540252827677978,0.015358024423762072,0.6576180971390553,0.002574257102082925
el,0.5897205588822355,0.002681642483541789,0.6000665335994677,0.016092743453504917,0.6144377910844977,0.009221326463956694
es,0.6986027944111777,0.0022582252492983758,0.6961410512308716,0.0018546054377599546,0.6979374584165003,0.002908515368515547
fr,0.6958083832335329,0.003669616030109885,0.6906187624750499,0.008183632734530932,0.6875582168995343,0.009055660405067358
hi,0.5364271457085829,0.003528476952028695,0.5425149700598803,0.003977017733567096,0.5444444444444444,0.005074468387403347
ru,0.6321357285429141,0.004798728654759093,0.6312707917498336,0.0058885054681771555,0.6327345309381237,0.00829964985480711
same,0.7733532934131737,0.00042341723424341355,0.7731869594145043,0.006487281841516097,0.7709248170326015,0.001267635321574006
th,0.36077844311377244,0.006633536669813937,0.4397205588822355,0.015439092725962196,0.42528276779773777,0.0346721773927335
tr,0.569061876247505,0.001975947093136074,0.5805056553559548,0.0039028634400698455,0.5816367265469062,0.0028786836530650564
vi,0.5642714570858284,0.035567047676449096,0.6485029940119761,0.007457701274359033,0.6303393213572854,0.009804849573505138
