method,baseline,baseline,before_dico,before_dico,freeze_high_anisotropy_dico,freeze_high_anisotropy_dico
,mean,std,mean,std,mean,std
language,,,,,,
ar,0.6969061876247504,0.019336053697117248,0.6842980705256155,0.00852772852695251,0.6887558216899534,0.006828370249606367
avg,0.7292959535474506,0.009738596387599297,0.7171777656807596,0.00639367460890986,0.7219923788786065,0.00748843282759722
bg,0.7585828343313372,0.005786702201327071,0.7392548236859614,0.007580451865055149,0.7438456420492349,0.0072307667812205306
de,0.7429141716566867,0.00959745730951799,0.7331337325349301,0.009302339479226355,0.7352628077178975,0.013177180519187204
el,0.7378243512974052,0.008044927450625367,0.7245508982035928,0.005037696392863806,0.7261477045908183,0.009166437128307406
es,0.772754491017964,0.006915814825976278,0.7541583499667333,0.004878324093100001,0.763872255489022,0.0059979956891483555
fr,0.7601796407185628,0.0035284769520286556,0.7483033932135729,0.004036676330570199,0.7545575515635395,0.0030292887392767355
hi,0.6741516966067864,0.013408212417708947,0.6691284098469726,0.009392555565591466,0.671789753825682,0.006502617018161288
ru,0.74061876247505,0.005222145889002388,0.7256154357950765,0.003682260572727093,0.7292082501663341,0.005730779582873963
same,0.8219560878243513,0.005645563123245881,0.80791749833666,0.002768149575876899,0.8121091151031271,0.003913058137733249
th,0.7027944111776447,0.016089854901250776,0.6902860944777113,0.008675940552336841,0.6969394544244844,0.014142576969916085
tr,0.707684630738523,0.011996821636897555,0.6986693280106454,0.009742345737973897,0.7039920159680638,0.011043174605687085
vi,0.7278443113772455,0.00719809298213858,0.7215568862275449,0.005469935970476911,0.7275449101796406,0.0038081405246185094
